sub,ses,subses,context,switch,train_type,transfer,full_transfer_first,original_house,n_clicks,n_cc,n_oc,n_lc,n_nc,setting_sticks,setting_slips,context_changes,accuracy,setting_errors,general_errors,learned_setting_errors,rt,win,rt_correct,transition_probabilities
1,1,1,1,0,NA,NA,NA,NA,2.2195121951219514,2,0.0975609756097561,NA,0.12195121951219512,0,0.07317073170731707,0.17073170731707318,0.9447154471544715,0.02113821138211382,0.03414634146341464,NA,0.7856341463414634,0.9512195121951219,0.6543333333333333,NA
1,1,1,2,0,NA,NA,NA,NA,2.380952380952381,2.380952380952381,0,NA,0,0,0,0,1,0,0,NA,0.43352380952380953,1,0.43352380952380953,NA
1,1,1,2,1,NA,NA,NA,NA,4,1,1,NA,2,0,1,2,0.25,0.25,0.5,NA,3.784,1,NA,NA
1,1,2,1,0,NA,NA,NA,NA,2.8974358974358974,2.7948717948717947,0,NA,0.10256410256410256,0,0,0.10256410256410256,0.9880952380952381,0,0.011904761904761904,NA,0.4178717948717949,0.9743589743589743,0.4178717948717949,NA
1,1,2,1,1,NA,NA,NA,NA,1,1,0,NA,0,0,0,0,1,0,0,NA,1.851,1,1.851,NA
1,1,2,2,0,NA,NA,NA,NA,2.4285714285714284,2.4285714285714284,0,NA,0,0,0,0,1,0,0,NA,0.3394761904761905,1,0.3394761904761905,NA
1,1,2,2,1,NA,NA,NA,NA,4,4,0,NA,0,0,0,0,1,0,0,NA,1.917,1,1.917,NA
1,2,1,1,0,1,NA,NA,NA,2.8780487804878048,2.597560975609756,0.1951219512195122,NA,0.08536585365853659,0.012195121951219513,0.036585365853658534,0.21951219512195122,0.9622489239598279,0.02035509325681492,0.017395982783357244,NA,0.4752682926829268,0.9634146341463414,0.3818375,0.5050817498895271
1,2,1,1,1,1,NA,NA,NA,7.8,2,5.8,NA,0,0,0,0,0.25034798534798536,0.7496520146520147,0,NA,4.8752,0,NA,NA
1,2,1,2,0,1,NA,NA,NA,2.7941176470588234,2.661764705882353,0.1323529411764706,NA,0,0,0.014705882352941176,0.029411764705882353,0.990546218487395,0.009453781512605043,0,NA,0.379,0.9852941176470589,0.379,0
1,2,1,2,1,1,NA,NA,NA,7.6,2.8,4.8,NA,0,0,0,0,0.35214285714285715,0.6478571428571429,0,NA,3.7822,0,NA,NA
1,2,2,1,0,1,NA,NA,NA,2.5774647887323945,2.563380281690141,0,NA,0.014084507042253521,0,0,0.014084507042253521,0.9964788732394366,0,0.0035211267605633804,NA,0.3418450704225352,1,0.3418450704225352,0.43842592592592594
1,2,2,1,1,1,NA,NA,NA,9,3.5,5.5,NA,0,0,0,0,0.3875,0.6125,0,NA,3.8465,0,NA,NA
1,2,2,2,0,1,NA,NA,NA,2.6904761904761907,2.6904761904761907,0,NA,0,0,0,0,1,0,0,NA,0.34767857142857145,1,0.34767857142857145,0.359375
1,2,2,2,1,1,NA,NA,NA,7.666666666666667,2.6666666666666665,5,NA,0,0,0,0,0.34259259259259256,0.6574074074074074,0,NA,3.7086666666666668,0,NA,NA
1,3,1,3,0,1,1,1,1,2.375,2.25,0.05,0.1,0.075,0,0.025,0.1,0.9716666666666667,0.01,0.018333333333333333,0.02,0.37945,0.975,0.27187179487179486,NA
1,3,2,4,0,1,2,1,NA,4.3,3.025,0.375,1.1,0.9,0.025,0.15,1.175,0.8104507175830705,0.039589617898441426,0.14995966451848805,0.16561657296951415,1.40175,0.725,1.1971714285714286,NA
2,1,1,1,0,NA,NA,NA,NA,4.464285714285714,2.5714285714285716,0.625,NA,1.2678571428571428,0.05357142857142857,0.26785714285714285,1.3392857142857142,0.7750915750915751,0.06955128205128205,0.15535714285714286,NA,3.262410714285714,0.7321428571428571,2.18674358974359,NA
2,1,1,2,0,NA,NA,NA,NA,4.411764705882353,2.6176470588235294,0.6176470588235294,NA,1.1764705882352942,0.058823529411764705,0.23529411764705882,1.2647058823529411,0.8411472922502334,0.058385854341736695,0.10046685340802988,NA,2.445029411764706,0.7647058823529411,1.5344074074074074,NA
2,1,1,2,1,NA,NA,NA,NA,9,3,2,NA,4,0,1,5,0.3333333333333333,0.2222222222222222,0.4444444444444444,NA,5.242,0,NA,NA
2,1,2,1,0,NA,NA,NA,NA,2.641025641025641,2.5641025641025643,0.07692307692307693,NA,0,0.02564102564102564,0.05128205128205128,0.15384615384615385,0.9829059829059829,0.017094017094017092,0,NA,0.7921025641025641,0.9487179487179487,0.772578947368421,NA
2,1,2,1,1,NA,NA,NA,NA,2,2,0,NA,0,0,0,0,1,0,0,NA,2.967,1,2.967,NA
2,1,2,2,0,NA,NA,NA,NA,2.74,2.74,0,NA,0,0,0,0,1,0,0,NA,0.54864,1,0.54864,NA
2,1,2,2,1,NA,NA,NA,NA,3,3,0,NA,0,0,0,0,1,0,0,NA,1.425,1,1.425,NA
2,2,1,1,0,1,NA,NA,NA,3,2.979591836734694,0.02040816326530612,NA,0,0.02040816326530612,0.02040816326530612,0.04081632653061224,0.9931972789115646,0.006802721088435374,0,NA,0.844265306122449,0.8979591836734694,0.7000425531914893,0.48569023569023567
2,2,1,1,1,1,NA,NA,NA,10.5,3,7.5,NA,0,0,0.25,0.5,0.28474025974025974,0.7152597402597403,0,NA,5.10425,0,NA,NA
2,2,1,2,0,1,NA,NA,NA,2.7281553398058254,2.6407766990291264,0.07766990291262135,NA,0.009708737864077669,0,0.019417475728155338,0.06796116504854369,0.9908306364617044,0.008090614886731391,0.0010787486515641855,NA,0.48997087378640775,0.9611650485436893,0.48997087378640775,0.23842229199372056
2,2,1,2,1,1,NA,NA,NA,14.5,3,11.5,NA,0,0,0,0,0.20818250377073907,0.791817496229261,0,NA,8.46075,0,NA,NA
2,2,2,1,0,1,NA,NA,NA,2.75,2.5961538461538463,0.15384615384615385,NA,0,0.028846153846153848,0.028846153846153848,0.057692307692307696,0.9773504273504273,0.02264957264957265,0,NA,0.5111634615384615,0.8846153846153846,0.35925742574257424,0.3208020050125313
2,2,2,1,1,1,NA,NA,NA,10.666666666666666,2.3333333333333335,8.333333333333334,NA,0,0,0,0,0.21031746031746032,0.7896825396825397,0,NA,6.342,0,NA,NA
2,2,2,2,0,1,NA,NA,NA,2.673469387755102,2.673469387755102,0,NA,0,0,0,0,1,0,0,NA,0.31195918367346936,0.9591836734693877,0.31195918367346936,0.32596153846153847
2,2,2,2,1,1,NA,NA,NA,15.25,3,12.25,NA,0,0,0,0,0.24109848484848484,0.7589015151515152,0,NA,9.20425,0,NA,NA
2,3,1,3,0,1,1,1,2,2.825,2.65,0.025,0.05,0.15,0,0.025,0.05,0.9805555555555555,0.0027777777777777775,0.016666666666666666,0.005555555555555555,0.96865,0.975,0.9321538461538461,NA
2,3,2,4,0,1,2,1,NA,3.6,2.725,0.275,0.575,0.6,0.025,0.125,0.7,0.9054513888888889,0.026041666666666668,0.06850694444444444,0.06184027777777778,1.54335,0.775,1.0094722222222223,NA
3,1,1,1,0,NA,NA,NA,NA,5.129032258064516,2.596774193548387,0.7903225806451613,NA,1.7419354838709677,0.016129032258064516,0.3870967741935484,1.596774193548387,0.7419022733538863,0.08416261158196642,0.17393511506414733,NA,2.0921451612903224,0.6612903225806451,1.4523076923076923,NA
3,1,1,2,0,NA,NA,NA,NA,2.935483870967742,2.7096774193548385,0.06451612903225806,NA,0.16129032258064516,0,0.06451612903225806,0.16129032258064516,0.956989247311828,0.011827956989247311,0.03118279569892473,NA,0.5058709677419355,0.9032258064516129,0.4305,NA
3,1,1,2,1,NA,NA,NA,NA,3,1,1,NA,1,0,1,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,NA,3.592,1,NA,NA
3,1,2,1,0,NA,NA,NA,NA,2.717948717948718,2.4615384615384617,0.05128205128205128,NA,0.20512820512820512,0,0.02564102564102564,0.15384615384615385,0.9671268902038133,0.0039447731755424065,0.028928336620644313,NA,0.4747948717948718,0.8717948717948718,0.41557894736842105,NA
3,1,2,1,1,NA,NA,NA,NA,1,1,0,NA,0,0,0,0,1,0,0,NA,2.075,1,2.075,NA
3,1,2,2,0,NA,NA,NA,NA,2.3962264150943398,2.358490566037736,0,NA,0.03773584905660377,0,0,0.03773584905660377,0.9937106918238994,0,0.006289308176100628,NA,0.3066415094339623,0.9245283018867925,0.3066415094339623,NA
3,1,2,2,1,NA,NA,NA,NA,10,3,2,NA,5,0,1,3,0.3,0.2,0.5,NA,1.626,0,1.626,NA
3,2,1,1,0,2,NA,NA,NA,6.379310344827586,2.7586206896551726,1.293103448275862,NA,2.3275862068965516,0.20689655172413793,0.5517241379310345,2.5344827586206895,0.6523635137804156,0.15061733753307086,0.19701914868651355,NA,1.3911724137931034,0.5344827586206896,0.9595238095238096,0.4817822651448639
3,2,1,1,1,2,NA,NA,NA,5.545454545454546,2.5,1.5,NA,1.5454545454545454,0,0.5454545454545454,2.090909090909091,0.608008658008658,0.21897546897546896,0.173015873015873,NA,1.8304090909090909,0.5454545454545454,1.059875,NA
3,2,1,2,0,2,NA,NA,NA,8.781818181818181,2.690909090909091,2.618181818181818,NA,3.4727272727272727,0.4909090909090909,0.9090909090909091,4.218181818181818,0.39914923460378005,0.30376277762641396,0.29708798776980594,NA,1.884309090909091,0.36363636363636365,0.9736666666666667,0.24313658201784488
3,2,1,2,1,2,NA,NA,NA,10.173913043478262,2.739130434782609,3.391304347826087,NA,4.043478260869565,0,0.6956521739130435,2.9130434782608696,0.306068125537435,0.3403495587958503,0.35358231566671466,NA,3.3443478260869566,0.21739130434782608,1.2256,NA
3,2,2,1,0,2,NA,NA,NA,6.685185185185185,2.537037037037037,1.5,NA,2.6481481481481484,0.1111111111111111,0.6481481481481481,2.8333333333333335,0.5891591811117954,0.16084001329099368,0.25000080559721083,NA,0.8050925925925926,0.46296296296296297,0.46394871794871795,0.473134328358209
3,2,2,1,1,2,NA,NA,NA,8.64,2.72,2.52,NA,3.4,0,0.64,2.92,0.37074114774114775,0.29546336996336997,0.3337954822954823,NA,1.54312,0.2,0.8033333333333333,NA
3,2,2,2,0,2,NA,NA,NA,8.814814814814815,2.8703703703703702,2.3333333333333335,NA,3.611111111111111,0.2962962962962963,0.7777777777777778,3.9444444444444446,0.48331106965619364,0.22518312115988767,0.29150580918391866,NA,1.2578518518518518,0.35185185185185186,0.41596666666666665,0.3198621553884712
3,2,2,2,1,2,NA,NA,NA,9.2,2.6,2.64,NA,3.96,0,0.64,2.84,0.3133886766827943,0.3017401748578219,0.38487114845938375,NA,2.45156,0.24,1.288,NA
3,3,1,3,0,2,1,1,1,3.1,2.525,0.1,0.175,0.475,0,0.075,0.25,0.9409090909090909,0.009595959595959595,0.049494949494949494,0.016919191919191917,0.3,0.825,0.2516923076923077,NA
