"","sub","train_type","mu","sw","scs","cntx"
"1",1,1,-11.7405404610711,-2.47954558051985,-6.85555348429987,-1.07617146823168
"2",2,1,-5.13036988776986,-0.19640386907556,-1.17386308498998,3.8311112509185
"3",3,2,-1.02253454685569,-0.120955144141105,0.124320977040831,-0.326294245384771
"4",4,2,-0.340520511107146,-0.118951190541102,-0.217404042532662,0.00447595924388636
"5",5,1,-1.5983226154504,-0.280296094777081,-0.845647880533249,-0.422484146249695
"6",6,1,-3.82366876076206,-0.097814708076843,-1.87020240251832,0.767413859511352
"7",7,2,-2.33412696712004,-0.503114459348715,0.343861166589081,0.117279695518884
"8",8,2,-4.38563803036642,0.14847016889149,0.398592568044217,0.615376108660131
"9",9,1,-0.877146241115527,-0.232056980114878,-0.237863379908188,-0.197102811715111
"10",10,1,-0.00529582256223276,-0.243209297061831,-0.03111375566372,-0.496366306761999
"11",11,2,-7.21509188302142,-0.186773882693181,-1.21699184907425,6.45336030686542
"12",12,2,-23.0477953740816,-1.12323069695493,-7.27099645846753,27.1991157112364
"13",13,1,-4.93547283819867,-0.609327528590972,-0.885245620657622,2.46767410797628
"14",14,1,-17.5298708239822,-0.249713553782937,-4.35581502146146,19.9690174779275
"15",15,2,-2.93854403133293,-0.211463025181543,-0.208799087072658,1.30686364240054
"16",16,2,-7.77216745994689,0.522223049681121,-1.34602547064621,3.76887180607664
"17",17,1,-4.40403625823129,0.964358105522051,-1.12631030634344,0.42048770509116
"18",18,1,-3.08771554191608,0.432085845420682,-0.148814747694051,1.68547829684151
"19",19,2,-1.49555840943223,-1.3162588461369,-1.41814150035434,0.932151790134795
"20",20,2,-2.63796998794284,0.900050987178241,1.11782579726436,0.0723569977852779
"21",21,1,-3.57492371163301,-0.551464287198389,-0.537835921170742,0.845728930388015
"22",22,1,-5.6939104223731,-0.17372382214604,-1.85361728111849,5.30765124595495
"23",23,2,-0.411229337905678,0.07961615028721,-0.260857834852772,-0.478161950024513
"24",24,2,-3.56204217351105,-0.695266003586635,-0.41136957468731,-0.334438863065764
"25",25,1,-26.5660685235387,-8.07236702544679e-15,-2.53970941774158e-14,-4.55432265861717e-14
"26",26,1,-4.30462908760714,-0.702770735820991,-0.381756532861095,1.39730066191143
"27",27,2,-3.21974945095519,-0.274140590897355,-0.235662001466849,2.35582792344259
"28",28,2,-3.09666526901947,0.36375404568009,-0.385041078647141,1.58009605836205
"29",29,1,-26.5660685235384,6.52553523787651e-15,3.51412435704935e-15,-4.04351622590856e-15
"30",30,1,-64.0964889135632,-28.1059111885989,-83.1710872804397,-2.79311293227676
"31",31,2,-0.763626160981617,0.00222942262205655,-0.103995414234633,0.567406578352154
"32",32,2,-0.851016450119493,-0.157115471330726,-0.00510575145126912,-0.466130758843426
"33",33,1,-6.12169350379753,3.73831153405632,-2.81422377547904,0.178488726533765
"34",34,1,-3.8369365855636,-0.0657572673204021,-0.40332275289498,1.18919309661028
"35",35,2,-3.74514677794647,1.0960028644521,0.635589290170395,0.377126895954247
"36",36,2,-2.048266532254,-0.499708769902609,-0.620634359220585,0.33221897105506
"37",37,1,-2.16514160888295,-0.786245905581421,-1.28246820412343,0.259863468721284
"38",38,1,-1.80688355072567,0.285999095469363,-0.49955738174348,-1.08847499574071
"39",39,2,0.231838112469378,0.00686445541313775,-0.0359008017095361,-0.340672999970586
"40",40,2,-2.60257305093095,0.062620738790551,-0.280301927219146,0.460635116066971
"41",41,1,-5.29810290792731,-1.73563826008277,-2.02061483807684,0.706223779242807
"42",42,1,-18.2107275214628,0.834660628092097,-8.1625272805159,24.904188348876
"43",43,2,0.0573320235416872,-0.139036247489914,0.145778932149533,-0.639620670920578
"44",44,2,-1.38081047591055,0.192143474698102,-0.2688341890554,0.930116110227104
"45",45,1,-5.15404831174908,-1.65571493448158,-0.0850095771956921,0.533519073686134
"46",46,1,-2.73818332195318,-0.403599527749159,-0.536560099761706,0.588592465966347
"47",47,2,-0.883038074040487,0.0421788340963955,-0.200715301850166,-0.266713815788641
"48",48,2,-0.725606734360347,-0.414184717354446,0.126442495880358,1.0536955235049
"49",49,1,-4.95738361288127,-1.05638053726768,-0.67093378146964,-1.25344082518637
"50",50,1,-5.41084946930546,-0.76692151280411,0.191575512354071,-1.57919508026052
"51",51,2,-0.981891358429518,-0.151950036866393,-0.0504032523545734,0.745657262949173
"52",52,2,-1.70000474952916,-0.395941861172949,0.438039582375946,0.61869690069764
"53",53,1,-3.11184702692221,0.301983373957272,-0.576858696982437,0.45730920595963
"54",54,1,-1.90621572305983,0.654480440715449,-0.824943042875638,0.168985003392136
"55",55,2,-0.647234480112125,0.171583386999308,-0.110013384332571,-0.182219906157663
"56",56,2,0.251592248038814,-0.107347741783442,0.0121837279941788,-0.633201431208612
"57",57,1,-26.5660685235382,7.3884006050324e-15,2.16633208042686e-14,1.24334823929833e-14
"58",58,1,-18.8882077853151,-5.72380702519617,-7.72056847807583,31.0687414074141
"59",59,2,-3.07726094080354,-0.968109929104498,0.0929229499592201,0.786019939480201
"60",60,2,-0.64826263764787,0.0259149422457417,-0.0464123649725401,-0.435385373755517
"61",61,1,-3.20330591949997,-0.149039154799454,-0.332501232392489,-0.735862566139286
"62",62,1,-0.439018396483924,0.104418366476246,0.0270751739178491,-0.431275626511926
"63",63,2,-2.62249306572599,0.225114870880826,-0.18635876615745,0.479876142815986
"64",64,2,-0.592923684308811,-0.139395834931281,0.111244002630981,-0.166072997325079
"65",65,1,-6.44105186153975,4.44059533284417,2.93950829941245,0.916023074134148
"66",66,1,-3.06970971040458,0.467864486381613,-0.444083549877784,1.4796550125665
"67",67,2,-1.65605326205445,0.142058091775994,-0.309385114807811,0.899048993298711
"68",68,2,-0.685768867298481,0.541862863846911,-0.516085824210751,1.00058489588409
"69",69,1,-26.5660685235385,7.2477495152972e-15,-4.42401701363398e-15,-9.27473852735808e-15
"70",70,1,-0.449273192906808,-0.331354411317325,-0.214165481978947,-0.209600501721062
"71",71,2,-0.610672653012137,0.108101852625074,-0.0455367455438472,0.267743483331661
"72",72,2,-0.947853625925356,0.0140716860583749,-0.0981232850013542,-0.122230115187528
"73",73,1,-32.3400417155889,-0.458925199582539,-24.2868553269146,22.8737645717485
"74",74,1,-3.62683846508741,0.961674577070023,0.407312495879713,0.366033368008169
"75",75,2,-2.3275956002575,-0.220255942655247,-0.356171431594846,2.54432391694816
"76",76,2,-1.73994638152553,0.101629796902615,-0.153164543849417,0.696723315890835
"77",77,1,-3.5522571415725,-0.61366051110362,0.125648064829767,1.06275464268316
"78",78,1,-3.20898251951889,-1.08232886661682,-1.3778538185673,0.806503150869658
"79",79,2,-3.04879844593686,-0.151390163683679,-0.65613536573367,1.2071000167312
"80",80,2,-3.42860512762013,-0.442040696198068,0.124949233305512,0.532472014156675
"81",81,1,-27.0466113397906,-0.244494254010625,-12.3127331165062,22.1936782572843
"82",82,1,-2.19993152509134,-0.567057830002923,-0.184989950192042,0.397072378734684
"83",83,2,-2.57046788394733,-1.95688692172443,-2.02420424293076,0.705380250120712
