sub,age,sex,excluded
1,41,female,0
2,29,female,0
3,40,female,0
4,30,female,0
NA,28,male,1
NA,25,male,1
5,20,female,0
6,21,female,0
7,19,female,0
NA,42,female,1
8,25,female,0
NA,23,female,1
NA,21,female,1
NA,19,female,1
NA,18,female,1
9,NA,male,0
NA,21,female,1
10,22,female,0
NA,53,male,1
11,18,male,0
NA,30,female,1
NA,18,female,1
12,18,female,0
13,25,female,0
14,19,female,0
15,39,female,0
16,32,male,0
17,18,female,0
NA,19,female,1
18,18,female,0
19,18,female,0
20,18,female,0
21,18,female,0
22,20,female,0
NA,19,male,1
23,18,female,0
24,18,female,0
25,19,female,0
NA,18,female,1
26,21,female,0
27,18,female,0
28,19,female,0
29,18,female,0
30,18,female,0
31,18,female,0
32,22,female,0
33,21,female,0
34,19,male,0
35,19,male,0
36,20,female,0
37,19,female,0
38,NA,female,0
39,21,female,0
40,18,female,0
41,18,female,0
42,18,female,0
43,18,female,0
44,18,female,0
45,18,female,0
46,NA,female,0
47,18,female,0
48,18,female,0
49,19,male,0
50,19,male,0
51,18,male,0
52,27,male,0
53,19,female,0
54,21,female,0
55,21,female,0
56,17,female,0
NA,18,female,1
57,21,male,0
58,18,female,0
59,22,male,0
60,19,female,0
61,18,female,0
NA,NA,female,1
62,18,male,0
63,18,female,0
64,21,female,0
65,19,female,0
66,19,female,0
67,18,female,0
68,18,female,0
NA,NA,female,1
69,23,female,0
70,18,male,0
71,18,female,0
72,19,female,0
73,20,male,0
74,18,male,0
75,19,female,0
76,18,female,0
77,20,female,0
78,NA,female,0
79,18,female,0
80,20,female,0
81,20,female,0
82,23,male,0
83,18,female,0
84,18,male,0
85,18,male,0
86,22,female,0
87,18,female,0
88,26,male,0
89,19,female,0
90,19,female,0
91,19,male,0
NA,19,female,1
92,18,female,0
93,18,female,0
94,19,male,0
95,18,female,0
96,18,female,0
97,18,male,0
98,24,male,0
99,18,female,0
100,18,female,0
