sub,algorithm,solution,context,door,x,y,path_weight
1,hamiltonian,1,1,2,1,3,5.650281539
1,hamiltonian,1,1,4,1,1,5.650281539
1,hamiltonian,1,1,11,3,2,5.650281539
1,hamiltonian,1,1,14,4,3,5.650281539
1,hamiltonian,2,1,14,4,3,5.650281539
1,hamiltonian,2,1,11,3,2,5.650281539
1,hamiltonian,2,1,2,1,3,5.650281539
1,hamiltonian,2,1,4,1,1,5.650281539
1,hamiltonian,3,1,14,4,3,5.650281539
1,hamiltonian,3,1,11,3,2,5.650281539
1,hamiltonian,3,1,4,1,1,5.650281539
1,hamiltonian,3,1,2,1,3,5.650281539
1,hamiltonian,4,1,4,1,1,5.650281539
1,hamiltonian,4,1,2,1,3,5.650281539
1,hamiltonian,4,1,11,3,2,5.650281539
1,hamiltonian,4,1,14,4,3,5.650281539
1,hamiltonian,1,2,5,2,4,6
1,hamiltonian,1,2,13,4,4,6
1,hamiltonian,1,2,15,4,2,6
1,hamiltonian,1,2,7,2,2,6
1,hamiltonian,2,2,5,2,4,6
1,hamiltonian,2,2,7,2,2,6
1,hamiltonian,2,2,15,4,2,6
1,hamiltonian,2,2,13,4,4,6
1,hamiltonian,3,2,15,4,2,6
1,hamiltonian,3,2,13,4,4,6
1,hamiltonian,3,2,5,2,4,6
1,hamiltonian,3,2,7,2,2,6
1,hamiltonian,4,2,15,4,2,6
1,hamiltonian,4,2,7,2,2,6
1,hamiltonian,4,2,5,2,4,6
1,hamiltonian,4,2,13,4,4,6
1,hamiltonian,5,2,13,4,4,6
1,hamiltonian,5,2,5,2,4,6
1,hamiltonian,5,2,7,2,2,6
1,hamiltonian,5,2,15,4,2,6
1,hamiltonian,6,2,13,4,4,6
1,hamiltonian,6,2,15,4,2,6
1,hamiltonian,6,2,7,2,2,6
1,hamiltonian,6,2,5,2,4,6
1,hamiltonian,7,2,7,2,2,6
1,hamiltonian,7,2,5,2,4,6
1,hamiltonian,7,2,13,4,4,6
1,hamiltonian,7,2,15,4,2,6
1,hamiltonian,8,2,7,2,2,6
1,hamiltonian,8,2,15,4,2,6
1,hamiltonian,8,2,13,4,4,6
1,hamiltonian,8,2,5,2,4,6
2,hamiltonian,1,1,2,1,3,5.650281539
2,hamiltonian,1,1,4,1,1,5.650281539
2,hamiltonian,1,1,11,3,2,5.650281539
2,hamiltonian,1,1,14,4,3,5.650281539
2,hamiltonian,2,1,14,4,3,5.650281539
2,hamiltonian,2,1,11,3,2,5.650281539
2,hamiltonian,2,1,2,1,3,5.650281539
2,hamiltonian,2,1,4,1,1,5.650281539
2,hamiltonian,3,1,14,4,3,5.650281539
2,hamiltonian,3,1,11,3,2,5.650281539
2,hamiltonian,3,1,4,1,1,5.650281539
2,hamiltonian,3,1,2,1,3,5.650281539
2,hamiltonian,4,1,4,1,1,5.650281539
2,hamiltonian,4,1,2,1,3,5.650281539
2,hamiltonian,4,1,11,3,2,5.650281539
2,hamiltonian,4,1,14,4,3,5.650281539
2,hamiltonian,1,2,5,2,4,6
2,hamiltonian,1,2,13,4,4,6
2,hamiltonian,1,2,15,4,2,6
2,hamiltonian,1,2,7,2,2,6
2,hamiltonian,2,2,5,2,4,6
2,hamiltonian,2,2,7,2,2,6
2,hamiltonian,2,2,15,4,2,6
2,hamiltonian,2,2,13,4,4,6
2,hamiltonian,3,2,15,4,2,6
2,hamiltonian,3,2,13,4,4,6
2,hamiltonian,3,2,5,2,4,6
2,hamiltonian,3,2,7,2,2,6
2,hamiltonian,4,2,15,4,2,6
2,hamiltonian,4,2,7,2,2,6
2,hamiltonian,4,2,5,2,4,6
2,hamiltonian,4,2,13,4,4,6
2,hamiltonian,5,2,13,4,4,6
2,hamiltonian,5,2,5,2,4,6
2,hamiltonian,5,2,7,2,2,6
2,hamiltonian,5,2,15,4,2,6
2,hamiltonian,6,2,13,4,4,6
2,hamiltonian,6,2,15,4,2,6
2,hamiltonian,6,2,7,2,2,6
2,hamiltonian,6,2,5,2,4,6
2,hamiltonian,7,2,7,2,2,6
2,hamiltonian,7,2,5,2,4,6
