"sub","r","train_type"
1,4.16596679689711,1
2,6.59792806940899,1
3,31.7318102323999,2
4,25.0568969354212,2
5,25.209312627309,1
6,6.18621614460339,1
7,10.5429818911499,2
8,18.4054943613521,2
9,24.3527315983974,1
10,10.8060051150526,1
11,2.54409074573979,2
12,2.14810883250429,2
13,8.83352174862779,1
14,6.51724603122211,1
15,8.46104962105067,2
16,7.99702110792462,2
17,7.49644447234858,1
18,6.47676516615673,1
19,10.5970717271501,2
20,10.6082061857058,2
21,9.18774490269451,1
22,3.25576935932027,1
23,30.6938352662855,2
24,7.58484108614391,2
25,5.01304633691174,1
26,4.04532254077316,1
27,8.85072033384679,2
28,13.3495792850838,2
29,4.0575249235822,1
30,4.42787893037879,1
31,13.9320840077188,2
32,32.704617482489,2
33,7.87922228879459,1
34,3.40155439713814,1
35,4.2136138762312,2
36,23.5624581381885,2
37,22.7754890970874,1
38,12.1296673756419,1
39,27.0726092911467,2
40,6.96684851706455,2
41,5.7508072249007,1
42,5.361826624135,1
43,15.2166489002467,2
44,14.0634395850209,2
45,12.5261597529345,1
46,18.9668222455952,1
47,34.0750777750625,2
48,12.2576330367517,2
49,14.3645008414046,1
50,11.6322679463024,1
51,11.7710517365145,2
52,13.7223034088845,2
53,6.49206729278729,1
54,19.4059385904914,1
55,18.5045803086652,2
56,24.9221149779691,2
57,0.846554656500441,1
58,6.93382842443511,1
59,8.37925408642973,2
60,31.4976077116793,2
61,11.892525122127,1
62,29.18723705156,1
63,10.3687938001326,2
64,29.526845652027,2
65,9.52585142285767,1
66,6.90404415152257,1
67,10.040985801751,2
68,8.55916306527953,2
69,1.52337481050645,1
70,18.3472105764314,1
71,17.9853693177502,2
72,29.0015816736047,2
73,4.87187535065166,1
74,4.88012096153839,1
75,5.22060947222303,2
76,11.0923376468671,2
77,14.9219852874189,1
78,6.03873034586812,1
79,10.8977500825862,2
80,8.75829196964721,2
81,2.91932892207518,1
82,11.1953555904711,1
83,10.6675813630506,2
84,8.72793090192885,2
85,11.9925047647129,1
86,6.93822446127707,1
87,11.7349749515141,2
88,26.0799801907191,2
89,3.51792558776478,1
90,6.68675103333153,1
91,12.1905113123026,2
92,2.31539916499027,2
93,18.6837199266593,1
94,20.3581261675398,1
95,17.1397929876799,2
96,18.9061701027262,2
97,8.68187463701146,1
98,6.34003604103104,1
99,13.6032283349674,2
100,8.92325463622743,2
