"","sub","mu_z","gmu","gsd"
"1",1,-9.20440485978212,-19.4105467502354,29.9707369760356
"2",2,-4.17422743032294,-19.4105467502354,29.9707369760356
"3",3,-50.3431115495681,-19.4105467502354,29.9707369760356
"4",4,-2.36150714318863,-19.4105467502354,29.9707369760356
"5",5,-2.51091471867108,-19.4105467502354,29.9707369760356
"6",6,-13.1162199690421,-19.4105467502354,29.9707369760356
"7",7,1.02209412512942,-19.4105467502354,29.9707369760356
"8",8,-4.36340363254154,-19.4105467502354,29.9707369760356
"9",9,-75.6860899410817,-19.4105467502354,29.9707369760356
"10",10,-22.1356723194637,-19.4105467502354,29.9707369760356
"11",11,-12.3905647652903,-19.4105467502354,29.9707369760356
"12",12,-100.490120288416,-19.4105467502354,29.9707369760356
"13",13,-7.88648237810971,-19.4105467502354,29.9707369760356
"14",14,-7.52672052766676,-19.4105467502354,29.9707369760356
"15",15,-5.13819820411128,-19.4105467502354,29.9707369760356
"16",16,-3.19426545527638,-19.4105467502354,29.9707369760356
"17",17,-2.09692836891709,-19.4105467502354,29.9707369760356
"18",18,-12.0811359487003,-19.4105467502354,29.9707369760356
"19",19,-8.90957258219322,-19.4105467502354,29.9707369760356
"20",20,0.264168128547633,-19.4105467502354,29.9707369760356
"21",21,-0.890140454588936,-19.4105467502354,29.9707369760356
"22",22,-95.1940073659486,-19.4105467502354,29.9707369760356
"23",23,-27.0500959262928,-19.4105467502354,29.9707369760356
"24",24,-0.840659595238446,-19.4105467502354,29.9707369760356
"25",25,-24.4293257105205,-19.4105467502354,29.9707369760356
"26",26,-49.7341302751714,-19.4105467502354,29.9707369760356
"27",27,-4.62387213197322,-19.4105467502354,29.9707369760356
"28",28,-1.4929691458536,-19.4105467502354,29.9707369760356
"29",29,-61.6667834846194,-19.4105467502354,29.9707369760356
"30",30,-55.6573069314595,-19.4105467502354,29.9707369760356
"31",31,-8.74575656143084,-19.4105467502354,29.9707369760356
"32",32,-25.6821506966612,-19.4105467502354,29.9707369760356
"33",33,-1.83644143480191,-19.4105467502354,29.9707369760356
"34",34,-92.2716261252829,-19.4105467502354,29.9707369760356
"35",35,-7.41143269558461,-19.4105467502354,29.9707369760356
"36",36,-5.64842933122245,-19.4105467502354,29.9707369760356
"37",37,-4.56384698126574,-19.4105467502354,29.9707369760356
"38",38,-1.9136450752662,-19.4105467502354,29.9707369760356
"39",39,-4.78135967003008,-19.4105467502354,29.9707369760356
"40",40,-9.92836181619317,-19.4105467502354,29.9707369760356
"41",41,-8.46928847321355,-19.4105467502354,29.9707369760356
"42",42,-20.0936672437483,-19.4105467502354,29.9707369760356
"43",43,-10.8914687294037,-19.4105467502354,29.9707369760356
"44",44,-6.86958478538257,-19.4105467502354,29.9707369760356
"45",45,0.557856258147548,-19.4105467502354,29.9707369760356
"46",46,-1.73392708489089,-19.4105467502354,29.9707369760356
"47",47,-24.9651809858557,-19.4105467502354,29.9707369760356
"48",48,-13.1237044117885,-19.4105467502354,29.9707369760356
"49",49,-1.44865590902563,-19.4105467502354,29.9707369760356
"50",50,-2.53429556538238,-19.4105467502354,29.9707369760356
"51",51,-13.4520389363705,-19.4105467502354,29.9707369760356
"52",52,-4.53865412322191,-19.4105467502354,29.9707369760356
"53",53,-15.2212115831813,-19.4105467502354,29.9707369760356
"54",54,-6.50702418770021,-19.4105467502354,29.9707369760356
"55",55,-4.35233556993754,-19.4105467502354,29.9707369760356
"56",56,-11.9908684723354,-19.4105467502354,29.9707369760356
"58",58,-3.78110859507357,-19.4105467502354,29.9707369760356
"59",59,-6.58560794693729,-19.4105467502354,29.9707369760356
"60",60,-16.0359358296943,-19.4105467502354,29.9707369760356
"61",61,0.54545259080987,-19.4105467502354,29.9707369760356
"62",62,-9.52694358509948,-19.4105467502354,29.9707369760356
"63",63,-7.29913377336526,-19.4105467502354,29.9707369760356
"64",64,-25.4140754600505,-19.4105467502354,29.9707369760356
"65",65,-3.20681650043226,-19.4105467502354,29.9707369760356
"66",66,-6.07393130296685,-19.4105467502354,29.9707369760356
"67",67,-8.14389528423942,-19.4105467502354,29.9707369760356
"68",68,-19.0659129747159,-19.4105467502354,29.9707369760356
"69",69,-108.142847376629,-19.4105467502354,29.9707369760356
"70",70,-9.03694120660636,-19.4105467502354,29.9707369760356
"71",71,-9.60584644426388,-19.4105467502354,29.9707369760356
"72",72,-102.016639044623,-19.4105467502354,29.9707369760356
"73",73,-29.8527514915406,-19.4105467502354,29.9707369760356
"74",74,-21.3847609138917,-19.4105467502354,29.9707369760356
"75",75,-13.0549687434497,-19.4105467502354,29.9707369760356
"76",76,-6.9941248223932,-19.4105467502354,29.9707369760356
"77",77,-4.69573090303768,-19.4105467502354,29.9707369760356
"78",78,-5.83066408576428,-19.4105467502354,29.9707369760356
"79",79,-2.70231482239552,-19.4105467502354,29.9707369760356
"80",80,-5.9883737244155,-19.4105467502354,29.9707369760356
"82",82,-0.640067282675664,-19.4105467502354,29.9707369760356
"83",83,-3.56263910193574,-19.4105467502354,29.9707369760356
"84",84,-10.8429993778595,-19.4105467502354,29.9707369760356
"85",85,-2.96411264818718,-19.4105467502354,29.9707369760356
"86",86,-0.847601772634726,-19.4105467502354,29.9707369760356
"87",87,-4.05862663898245,-19.4105467502354,29.9707369760356
"88",88,-19.9143672580987,-19.4105467502354,29.9707369760356
"89",89,-79.9664377579821,-19.4105467502354,29.9707369760356
"90",90,-14.7151706560592,-19.4105467502354,29.9707369760356
"91",91,-3.42887386871268,-19.4105467502354,29.9707369760356
"92",92,-77.1096607158219,-19.4105467502354,29.9707369760356
"93",93,-0.343240341431266,-19.4105467502354,29.9707369760356
"94",94,-13.5078480070175,-19.4105467502354,29.9707369760356
"95",95,-6.75651813653825,-19.4105467502354,29.9707369760356
"96",96,-5.9851797090462,-19.4105467502354,29.9707369760356
"97",97,-0.720432823920173,-19.4105467502354,29.9707369760356
"98",98,-14.5514897389037,-19.4105467502354,29.9707369760356
"99",99,-8.58931768116197,-19.4105467502354,29.9707369760356
"100",100,-6.89578628613163,-19.4105467502354,29.9707369760356
