sub,ses,subses,context,switch,train_type,transfer,full_transfer_first,original_house,n_clicks,n_cc,n_oc,n_lc,n_nc,setting_sticks,setting_slips,context_changes,accuracy,setting_errors,general_errors,learned_setting_errors,rt,win,rt_correct,transition_probabilities
1,1,1,1,0,NA,NA,NA,NA,3.1463414634146343,2.658536585365854,0.14634146341463414,NA,0.34146341463414637,0,0.07317073170731707,0.3170731707317073,0.9402562207440256,0.014781966001478195,0.04496181325449618,NA,0.720609756097561,0.926829268292683,0.5579473684210526,NA
1,1,1,2,0,NA,NA,NA,NA,2.1904761904761907,2.1904761904761907,0,NA,0,0,0,0,1,0,0,NA,0.3777142857142857,1,0.3777142857142857,NA
1,1,1,2,1,NA,NA,NA,NA,1,1,0,NA,0,0,0,0,1,0,0,NA,3.759,1,3.759,NA
1,1,2,1,0,NA,NA,NA,NA,2.5641025641025643,2.5641025641025643,0,NA,0,0,0,0,1,0,0,NA,0.399,1,0.399,NA
1,1,2,1,1,NA,NA,NA,NA,1,1,0,NA,0,0,0,0,1,0,0,NA,2.859,1,2.859,NA
1,1,2,2,0,NA,NA,NA,NA,2.5238095238095237,2.5238095238095237,0,NA,0,0,0,0,1,0,0,NA,0.3517857142857143,1,0.3517857142857143,NA
1,2,1,1,0,1,NA,NA,NA,2.3950617283950617,2.3950617283950617,0,NA,0,0,0,0,1,0,0,NA,0.42161728395061726,1,0.42161728395061726,NA
1,2,1,1,1,1,NA,NA,NA,6.8,2.2,4.6,NA,0,0,0,0,0.29555555555555557,0.7044444444444444,0,NA,4.2504,0,NA,NA
1,2,1,2,0,1,NA,NA,NA,2.6176470588235294,2.6176470588235294,0,NA,0,0,0,0,1,0,0,NA,0.4517058823529412,1,0.4517058823529412,NA
1,2,1,2,1,1,NA,NA,NA,7.2,2.8,4.4,NA,0,0,0,0,0.3717460317460317,0.6282539682539683,0,NA,4.0404,0,NA,NA
1,2,2,1,0,1,NA,NA,NA,2.732394366197183,2.732394366197183,0,NA,0,0,0,0,1,0,0,NA,0.48025352112676056,1,0.48025352112676056,NA
1,2,2,1,1,1,NA,NA,NA,7,3,4,NA,0,0,0,0,0.42857142857142855,0.5714285714285714,0,NA,3.0380000000000003,0,NA,NA
1,2,2,2,0,1,NA,NA,NA,2.5357142857142856,2.5357142857142856,0,NA,0,0,0,0,1,0,0,NA,0.43288095238095237,1,0.43288095238095237,NA
1,2,2,2,1,1,NA,NA,NA,7,2.6666666666666665,4.333333333333333,NA,0,0,0,0,0.37037037037037035,0.6296296296296297,0,NA,3.9116666666666666,0,NA,NA
1,3,1,1,0,1,NA,NA,NA,2.68,2.68,0,NA,0,0,0,0,1,0,0,NA,0.57072,1,0.57072,NA
1,3,1,1,1,1,NA,NA,NA,2.1666666666666665,2.1666666666666665,0,NA,0,0,0,0,1,0,0,NA,0.9435555555555556,1,0.9435555555555556,NA
1,3,1,2,0,1,NA,NA,NA,2.888888888888889,2.888888888888889,0,NA,0,0,0,0,1,0,0,NA,0.5546111111111112,1,0.5546111111111112,NA
1,3,1,2,1,1,NA,NA,NA,2.611111111111111,2.5,0.05555555555555555,NA,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.16666666666666666,0.9537037037037037,0.018518518518518517,0.027777777777777776,NA,1.1342222222222222,1,1.0920625,NA
1,3,2,1,0,1,NA,NA,NA,2.933333333333333,2.933333333333333,0,NA,0,0,0,0,1,0,0,NA,0.5554666666666667,1,0.5554666666666667,NA
1,3,2,1,1,1,NA,NA,NA,2.5,2.45,0.05,NA,0,0.05,0.05,0.1,0.9833333333333333,0.016666666666666666,0,NA,0.9791,1,0.9525263157894737,NA
1,3,2,2,0,1,NA,NA,NA,2.590909090909091,2.590909090909091,0,NA,0,0,0,0,1,0,0,NA,0.6587727272727273,1,0.6587727272727273,NA
1,3,2,2,1,1,NA,NA,NA,2.8181818181818183,2.772727272727273,0.045454545454545456,NA,0,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.9772727272727273,0.022727272727272728,0,NA,1.0114545454545454,1,0.9945238095238095,NA
2,1,1,1,0,NA,NA,NA,NA,3.738095238095238,2.6666666666666665,0.35714285714285715,NA,0.7142857142857143,0.07142857142857142,0.14285714285714285,0.7380952380952381,0.8779401154401154,0.0365530303030303,0.08550685425685425,NA,1.0988333333333333,0.8571428571428571,0.7597142857142857,NA
2,1,1,2,0,NA,NA,NA,NA,3.475,2.65,0.3,NA,0.525,0.05,0.1,0.625,0.923045634920635,0.02640873015873016,0.05054563492063492,NA,0.431625,0.85,0.3854736842105263,NA
2,1,1,2,1,NA,NA,NA,NA,7,2,1,NA,4,0,1,3,0.2857142857142857,0.14285714285714285,0.5714285714285714,NA,7.509,0,NA,NA
2,1,2,1,0,NA,NA,NA,NA,2.9743589743589745,2.4871794871794872,0.1794871794871795,NA,0.3076923076923077,0.02564102564102564,0.1282051282051282,0.41025641025641024,0.9202991452991452,0.034188034188034185,0.04551282051282051,NA,0.4671794871794872,0.9230769230769231,0.32944444444444443,NA
2,1,2,1,1,NA,NA,NA,NA,2,1,1,NA,0,1,1,2,0.5,0.5,0,NA,6.459,1,NA,NA
2,1,2,2,0,NA,NA,NA,NA,2.840909090909091,2.840909090909091,0,NA,0,0,0,0,1,0,0,NA,0.34486363636363637,0.9772727272727273,0.34486363636363637,NA
2,1,2,2,1,NA,NA,NA,NA,4,3,0,NA,1,0,0,1,0.75,0,0.25,NA,5.525,1,NA,NA
2,2,1,1,0,1,NA,NA,NA,5.75,3.3333333333333335,0.8958333333333334,NA,1.5208333333333333,0.020833333333333332,0.2708333333333333,1.2083333333333333,0.7876869947182448,0.06742346195471195,0.14488954332704332,NA,0.6108333333333333,0.6458333333333334,0.5036976744186047,NA
2,2,1,1,1,1,NA,NA,NA,13.666666666666666,3.3333333333333335,5.666666666666667,NA,4.666666666666667,0,0,2,0.22919389978213509,0.4483660130718954,0.3224400871459695,NA,3.567333333333333,0,NA,NA
2,2,1,2,0,1,NA,NA,NA,2.6699029126213594,2.621359223300971,0.019417475728155338,NA,0.02912621359223301,0.009708737864077669,0.019417475728155338,0.04854368932038835,0.9919093851132686,0.004449838187702265,0.0036407766990291263,NA,0.315873786407767,0.9611650485436893,0.28458415841584156,NA
2,2,1,2,1,1,NA,NA,NA,15.25,3,8.25,NA,4,0,0.75,1.75,0.20238095238095238,0.5357142857142857,0.2619047619047619,NA,5.48375,0,NA,NA
2,2,2,1,0,1,NA,NA,NA,3.2211538461538463,2.5096153846153846,0.2403846153846154,NA,0.47115384615384615,0.019230769230769232,0.08653846153846154,0.4230769230769231,0.9235781579531579,0.021893704586012277,0.05452813746082977,NA,0.38640384615384615,0.8846153846153846,0.28650515463917525,NA
2,2,2,1,1,1,NA,NA,NA,15,3,9.666666666666666,NA,2.3333333333333335,0,0,1.3333333333333333,0.1894179894179894,0.6931216931216931,0.11746031746031746,NA,5.403333333333333,0,NA,NA
2,2,2,2,0,1,NA,NA,NA,2.4693877551020407,2.4693877551020407,0,NA,0,0,0,0,1,0,0,NA,0.30687755102040815,0.9387755102040817,0.30687755102040815,NA
2,2,2,2,1,1,NA,NA,NA,8.25,1.5,6.75,NA,0,0,0,0,0.17938311688311687,0.8206168831168831,0,NA,4.07125,0,NA,NA
2,3,1,1,0,1,NA,NA,NA,7.083333333333333,3.5,1.6666666666666667,NA,1.9166666666666667,0.16666666666666666,0.5833333333333334,2.75,0.667276936026936,0.16618265993265993,0.16654040404040404,NA,0.6948333333333333,0.4166666666666667,0.6004444444444444,NA
2,3,1,1,1,1,NA,NA,NA,3.4285714285714284,2.0476190476190474,0.8095238095238095,NA,0.5714285714285714,0.3333333333333333,0.42857142857142855,1.3333333333333333,0.7539595325309612,0.16521890807605094,0.08082155939298796,NA,1.1702380952380953,0.8095238095238095,0.9004615384615384,NA
2,3,1,2,0,1,NA,NA,NA,3,2.2857142857142856,0.23809523809523808,NA,0.47619047619047616,0,0.09523809523809523,0.5238095238095238,0.9148809523809524,0.02142857142857143,0.06369047619047619,NA,0.5994285714285714,0.9047619047619048,0.5348421052631579,NA
2,3,1,2,1,1,NA,NA,NA,3.869565217391304,2.5217391304347827,0.6956521739130435,NA,0.6521739130434783,0.17391304347826086,0.391304347826087,1.2608695652173914,0.782608695652174,0.1358695652173913,0.08152173913043478,NA,1.0884347826086958,0.782608695652174,0.892125,NA
2,3,2,1,0,1,NA,NA,NA,6.769230769230769,2.3461538461538463,1.6923076923076923,NA,2.730769230769231,0.19230769230769232,0.6538461538461539,3.1923076923076925,0.4785485347985348,0.1793956043956044,0.3420558608058608,NA,1.3714615384615385,0.38461538461538464,0.8188888888888889,NA
2,3,2,1,1,1,NA,NA,NA,6.357142857142857,2.7857142857142856,1.5714285714285714,NA,2,0.6428571428571429,0.7857142857142857,2.9285714285714284,0.5357142857142857,0.2496031746031746,0.2146825396825397,NA,1.2397142857142858,0.42857142857142855,0.8714999999999999,NA
2,3,2,2,0,1,NA,NA,NA,2.6842105263157894,2.5789473684210527,0.05263157894736842,NA,0.05263157894736842,0,0.05263157894736842,0.15789473684210525,0.9649122807017544,0.017543859649122806,0.017543859649122806,NA,0.5855789473684211,1,0.5855789473684211,NA
2,3,2,2,1,1,NA,NA,NA,3.411764705882353,2.6470588235294117,0.35294117647058826,NA,0.4117647058823529,0.11764705882352941,0.17647058823529413,0.8235294117647058,0.9147058823529411,0.04215686274509804,0.043137254901960784,NA,0.9582941176470589,0.8823529411764706,0.9126153846153846,NA
3,1,1,1,0,NA,NA,NA,NA,5.181818181818182,2.6713286713286712,0.8741258741258742,NA,1.6363636363636365,0.07692307692307693,0.3356643356643357,1.6503496503496504,0.7476893148900553,0.08732172496364186,0.1649889601463028,NA,1.0598881118881118,0.6713286713286714,0.5234356435643565,NA
3,1,2,1,0,NA,NA,NA,NA,2.810344827586207,2.5689655172413794,0.05172413793103448,NA,0.1896551724137931,0,0.05172413793103448,0.1206896551724138,0.9554597701149425,0.009339080459770114,0.035201149425287355,NA,0.523051724137931,0.896551724137931,0.4453035714285714,NA
3,1,2,1,1,NA,NA,NA,NA,1,1,0,NA,0,0,0,0,1,0,0,NA,3.925,1,3.925,NA
3,1,2,2,0,NA,NA,NA,NA,2.6904761904761907,2.4761904761904763,0.047619047619047616,NA,0.16666666666666666,0.023809523809523808,0.047619047619047616,0.15476190476190477,0.9638888888888889,0.011904761904761904,0.024206349206349207,NA,0.3398452380952381,0.9404761904761905,0.28717948717948716,NA
3,1,2,2,1,NA,NA,NA,NA,3.5,1.5,1,NA,1,0.5,0.5,1.5,0.6,0.2,0.2,NA,3.817,0.5,2.142,NA
3,2,1,1,0,2,NA,NA,NA,6.811320754716981,2.830188679245283,2.30188679245283,NA,1.679245283018868,0.37735849056603776,0.6981132075471698,2.9245283018867925,0.568765110228593,0.2766429293698098,0.1545919604015972,NA,1.0740566037735848,0.4528301886792453,0.40630434782608693,NA
3,2,1,1,1,2,NA,NA,NA,7.086956521739131,2.739130434782609,2.739130434782609,NA,1.608695652173913,0,0.4782608695652174,2.1739130434782608,0.4928605495101659,0.3614773192138921,0.14566213127594202,NA,1.511304347826087,0.43478260869565216,0.4245555555555556,NA
3,2,1,2,0,2,NA,NA,NA,5.3090909090909095,2.581818181818182,1.7454545454545454,NA,0.9818181818181818,0.34545454545454546,0.6,2.3454545454545452,0.6666141938869211,0.2482454414272596,0.08514036468581923,NA,1.0226181818181819,0.5636363636363636,0.5818064516129032,NA
3,2,1,2,1,2,NA,NA,NA,7.217391304347826,2.4782608695652173,3.1739130434782608,NA,1.565217391304348,0,0.34782608695652173,1.565217391304348,0.46390457368718235,0.40909718301022646,0.12699824330259113,NA,2.3145217391304347,0.43478260869565216,0.4238,NA
3,2,2,1,0,2,NA,NA,NA,3.6481481481481484,2.6296296296296298,1,NA,0.018518518518518517,0.09259259259259259,0.24074074074074073,0.6111111111111112,0.8687921132365577,0.1288930719486275,0.0023148148148148147,NA,0.717574074074074,0.7407407407407407,0.5480816326530612,NA
3,2,2,1,1,2,NA,NA,NA,6.583333333333333,2.75,3.625,NA,0.20833333333333334,0,0.16666666666666666,0.4583333333333333,0.4591664122914123,0.5173903642653642,0.023443223443223443,NA,2.6767916666666665,0.25,0.3755,NA
3,2,2,2,0,2,NA,NA,NA,3.8035714285714284,2.6964285714285716,1.0178571428571428,NA,0.08928571428571429,0.125,0.35714285714285715,0.9642857142857143,0.8257936507936507,0.15863095238095237,0.015575396825396826,NA,0.5873035714285715,0.7142857142857143,0.4806734693877551,NA
3,2,2,2,1,2,NA,NA,NA,5.68,2.32,3.32,NA,0.04,0,0.08,0.2,0.43185714285714283,0.5631428571428572,0.005,NA,2.42476,0.32,1.44025,NA
3,3,1,1,0,2,NA,NA,NA,2.7083333333333335,2.625,0.08333333333333333,NA,0,0,0.08333333333333333,0.16666666666666666,0.9836309523809523,0.01636904761904762,0,NA,0.634,0.9166666666666666,0.5941739130434782,NA
3,3,1,1,1,2,NA,NA,NA,3,2.85,0.15,NA,0,0.15,0.15,0.3,0.9458333333333333,0.05416666666666667,0,NA,0.93465,1,0.8965882352941177,NA
3,3,1,2,0,2,NA,NA,NA,3.066666666666667,3,0.06666666666666667,NA,0,0,0.06666666666666667,0.13333333333333333,0.9866666666666667,0.013333333333333334,0,NA,0.5432666666666667,0.8666666666666667,0.5432666666666667,NA
3,3,1,2,1,2,NA,NA,NA,2.857142857142857,2.761904761904762,0.09523809523809523,NA,0,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.9722222222222222,0.027777777777777776,0,NA,0.9305238095238095,0.9523809523809523,0.8858947368421053,NA
3,3,2,1,0,2,NA,NA,NA,2.8823529411764706,2.8823529411764706,0,NA,0,0,0,0,1,0,0,NA,0.5459411764705883,0.8823529411764706,0.5459411764705883,NA
3,3,2,1,1,2,NA,NA,NA,2.4210526315789473,2.3157894736842106,0.10526315789473684,NA,0,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.9649122807017544,0.03508771929824561,0,NA,0.9394210526315789,1,0.9138333333333334,NA
3,3,2,2,0,2,NA,NA,NA,2.56,2.56,0,NA,0,0,0,0,1,0,0,NA,0.51172,1,0.51172,NA
3,3,2,2,1,2,NA,NA,NA,2.4210526315789473,2.3684210526315788,0.05263157894736842,NA,0,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.9824561403508771,0.017543859649122806,0,NA,0.954421052631579,0.9473684210526315,0.9352222222222222,NA
4,1,1,1,0,NA,NA,NA,NA,2.6052631578947367,2.526315789473684,0.02631578947368421,NA,0.05263157894736842,0.02631578947368421,0.02631578947368421,0.07894736842105263,0.9780701754385965,0.013157894736842105,0.008771929824561403,NA,2.191131578947368,0.9473684210526315,2.0958378378378377,NA
4,1,1,2,0,NA,NA,NA,NA,3.3333333333333335,2.5238095238095237,0.2619047619047619,NA,0.5476190476190477,0.047619047619047616,0.09523809523809523,0.5476190476190477,0.9294217687074829,0.02772108843537415,0.04285714285714286,NA,0.970047619047619,0.8809523809523809,0.8453684210526315,NA
4,1,1,2,1,NA,NA,NA,NA,10,3,2,NA,5,0,1,5,0.3,0.2,0.5,NA,4.884,0,NA,NA
4,1,2,1,0,NA,NA,NA,NA,3.4871794871794872,2.8205128205128207,0.4358974358974359,NA,0.23076923076923078,0.02564102564102564,0.1794871794871795,0.7692307692307693,0.9377899877899878,0.04597069597069597,0.01623931623931624,NA,0.659974358974359,0.8974358974358975,0.6028378378378378,NA
4,1,2,1,1,NA,NA,NA,NA,2,1,1,NA,0,1,1,2,0.5,0.5,0,NA,7.5,1,NA,NA
4,1,2,2,0,NA,NA,NA,NA,2.380952380952381,2.380952380952381,0,NA,0,0,0,0,1,0,0,NA,0.5164761904761904,1,0.5164761904761904,NA
4,1,2,2,1,NA,NA,NA,NA,1,1,0,NA,0,0,0,0,1,0,0,NA,2.851,1,2.851,NA
4,2,1,1,0,2,NA,NA,NA,3.404255319148936,2.702127659574468,0.7021276595744681,NA,0,0.2553191489361702,0.48936170212765956,0.9787234042553191,0.8495809155383623,0.15041908446163765,0,NA,0.8333191489361702,0.7446808510638298,0.5448571428571428,NA
4,2,1,1,1,2,NA,NA,NA,7.863636363636363,2.4545454545454546,5.409090909090909,NA,0,0,0,0,0.3761793761793762,0.6238206238206239,0,NA,4.970909090909091,0.13636363636363635,0.4836666666666667,NA
4,2,1,2,0,2,NA,NA,NA,2.610169491525424,2.3728813559322033,0.23728813559322035,NA,0,0.05084745762711865,0.06779661016949153,0.1694915254237288,0.9689485655587351,0.03105143444126495,0,NA,0.8352033898305085,0.9491525423728814,0.709375,NA
4,2,1,2,1,2,NA,NA,NA,6.3478260869565215,2.391304347826087,3.9565217391304346,NA,0,0,0.5652173913043478,1.1304347826086956,0.4753529079616036,0.5246470920383963,0,NA,2.5546956521739133,0.34782608695652173,1.911,NA
4,2,2,1,0,2,NA,NA,NA,3.3666666666666667,2.9,0.4666666666666667,NA,0,0.21666666666666667,0.45,0.9,0.8766666666666667,0.12333333333333334,0,NA,0.6439666666666667,0.7166666666666667,0.37782978723404254,NA
4,2,2,1,1,2,NA,NA,NA,8.72,2.84,5.88,NA,0,0,0,0,0.3263852813852814,0.6736147186147186,0,NA,4.49232,0,NA,NA
4,2,2,2,0,2,NA,NA,NA,2.9591836734693877,2.7142857142857144,0.24489795918367346,NA,0,0.02040816326530612,0.061224489795918366,0.12244897959183673,0.9625850340136054,0.03741496598639456,0,NA,0.6058163265306122,0.9387755102040817,0.558875,NA
4,2,2,2,1,2,NA,NA,NA,7.88,2.56,5.28,NA,0.04,0,0.52,1.08,0.3897200577200577,0.6069466089466089,0.003333333333333333,NA,3.03584,0.16,0.5122857142857142,NA
4,3,1,1,0,2,NA,NA,NA,2.235294117647059,2.176470588235294,0.058823529411764705,NA,0,0,0.058823529411764705,0.11764705882352941,0.9803921568627451,0.0196078431372549,0,NA,0.7071764705882353,1,0.7071764705882353,NA
4,3,1,1,1,2,NA,NA,NA,2.2941176470588234,2.235294117647059,0.058823529411764705,NA,0,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.9803921568627451,0.0196078431372549,0,NA,1.4031764705882352,1,1.30075,NA
4,3,1,2,0,2,NA,NA,NA,2.0833333333333335,2.0833333333333335,0,NA,0,0,0,0,1,0,0,NA,0.6845,1,0.6845,NA
4,3,1,2,1,2,NA,NA,NA,2.7058823529411766,2.588235294117647,0.11764705882352941,NA,0,0.11764705882352941,0.11764705882352941,0.23529411764705882,0.9588235294117647,0.041176470588235294,0,NA,1.6381176470588235,0.9411764705882353,1.5748,NA
4,3,2,1,0,2,NA,NA,NA,2.869565217391304,2.6956521739130435,0.17391304347826086,NA,0,0,0.043478260869565216,0.08695652173913043,0.9782608695652174,0.021739130434782608,0,NA,0.7794782608695652,0.9565217391304348,0.7794782608695652,NA
4,3,2,1,1,2,NA,NA,NA,2.7,2.7,0,NA,0,0,0,0,1,0,0,NA,1.31335,1,1.31335,NA
4,3,2,2,0,2,NA,NA,NA,2.125,2.125,0,NA,0,0,0,0,1,0,0,NA,0.786875,1,0.786875,NA
4,3,2,2,1,2,NA,NA,NA,2.6842105263157894,2.5789473684210527,0.10526315789473684,NA,0,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.9824561403508771,0.017543859649122806,0,NA,1.363578947368421,0.9473684210526315,1.2777222222222222,NA
5,1,1,1,0,NA,NA,NA,NA,3.509433962264151,2.4150943396226414,0.4811320754716981,NA,0.6132075471698113,0.04716981132075472,0.33962264150943394,1.0849056603773586,0.8447445084982325,0.07392448387979669,0.08133100762197087,NA,1.4497075471698113,0.7452830188679245,1.2724893617021276,NA
