"","sub","train_type","mu","sw","scs","cntx"
"1",1,1,-26.5660685235381,-2.80494345025245e-14,1.27394745238489e-14,2.29469513678897e-14
"2",2,1,-2.31688394805722,-0.133252330902545,-0.573796928445601,0.217131938179556
"3",3,2,-0.751232777132362,-0.0926241924115453,-0.273365074008547,0.605902600595464
"4",4,2,-1.93709241669474,-0.39897205492468,-0.363091751035824,0.750768073417359
"5",5,1,-2.58764893858613,-0.25175539261347,-0.18531060228771,-0.230851393877411
"6",6,1,-3.49477436148806,-0.305623992633021,-0.269669076551177,0.73103991436457
"7",7,2,-0.175267497264886,0.147150373679828,-0.125950282467578,-0.3070238190923
"8",8,2,-0.990724884516028,0.123633183144868,-0.109909805336856,-0.0632622944462129
"9",9,1,-1.25731189695838,-0.051177285856818,-0.402092088067604,-0.276416385699231
"10",10,1,-0.596693093549333,-0.0301405473135273,-0.151378938745956,-0.43972316491018
"11",11,2,-1.90570837095805,-0.279102932686837,-0.0438599892257204,3.14014387891026
"12",12,2,-1.00699119525555,0.146506984188227,-0.132203367951995,-0.278004531855594
"13",13,1,-3.09619841709118,-0.331132230641807,-0.29657001077007,0.578483986302248
"14",14,1,-4.11840646814308,-0.500124467940182,-0.311568148385866,2.23156265570253
"15",15,2,-2.57321646457833,0.193203123832605,-0.425964564751377,0.877827377173735
"16",16,2,-2.71187758010583,-0.310103463371301,0.0230559613329,0.625574568839706
"17",17,1,-1.37550868086585,0.395087986598245,-0.388093716934767,1.03080879358548
"18",18,1,-26.5660685235387,5.52454282208863e-14,4.50250779957392e-14,-1.15014975749241e-14
"19",19,2,-0.0909264607944587,-0.277215292636557,-0.363642411222242,-0.428106448399758
"20",20,2,-0.812935774572476,-0.767682426228397,-0.715906641600126,0.245923225024824
"21",21,1,-4.73154487185912,0.475174225936352,-1.62719696483795,1.67050413690672
"22",22,1,-2.77901876174681,0.513894185703713,-0.571797688242611,0.0597501154878697
"23",23,2,-0.960187089748748,0.132667484823425,-0.110148341836417,-0.149431661809498
"24",24,2,-0.791429224111322,-0.529247502213907,-0.543854592786093,0.280556306552569
"25",25,1,-5.48811463095851,-0.655075812300284,-6.31139260470081,5.84506970516859
"26",26,1,-4.13102026173159,-1.45736459375624,-1.28212005788965,0.317864884249
"27",27,2,-4.83659240961293,-2.24781280494569,1.04241360869666,2.21162135828774
"28",28,2,-1.46027567261626,0.684552531355068,-0.967773161476798,0.431913695583707
"29",29,1,-6.28467027095544,-2.32220190806407,-2.24002406738096,0.552768320753324
"30",30,1,-3.41198183273218,0.0634463457212526,0.270098226438238,-1.19269733566386
"31",31,2,-1.4004570902317,-0.0141402267316019,0.464247940582624,1.57652508684828
"32",32,2,-0.527111139106143,-0.166160302725544,-0.130704725368331,-0.411398843674769
"33",33,1,-3.69193735188591,-0.472042522411369,-0.405671557350381,-0.363467452228155
"34",34,1,-26.5660685235384,1.61996915817797e-14,1.73973339221814e-14,-1.58341193785353e-15
"35",35,2,-22.6396557450114,1.31387229715738,-6.00707255038971,29.329273931691
"36",36,2,-1.64718244421079,-0.249394493114952,-0.218532857322209,0.828271958582659
"37",37,1,-11.4991812946039,-14.4251623109511,-11.6246712446731,-1.20644406692762
"38",38,1,-1.9666917805274,-0.846041015379527,-0.470382280063927,0.169285669753751
"39",39,2,-0.575866284926832,0.0481981335762242,-0.0561109854834454,-0.627688881437022
"40",40,2,-0.0979296134892112,0.181849467835417,0.0536803467593129,-0.283246976069461
"41",41,1,-2.40465876703673,0.595623521237762,0.204160043751425,1.02846461107035
"42",42,1,-16.3196422554635,0.583312569654118,-6.77564746159308,24.5747383055957
"43",43,2,-1.45271014879077,-0.731508131854594,-0.466360759313066,0.825121181115595
"44",44,2,-3.35054236728062,0.0468889769167842,-0.346561973350012,0.956384549298967
"45",45,1,-3.3199777136445,0.141546082993455,-0.277920435339575,1.55715338629543
"46",46,1,-5.89570102390263,-0.970003511963853,1.09229252845183,-0.821909899395785
"47",47,2,-2.51093381672823,-0.529569245204161,-0.276187503511742,0.733116786324502
"48",48,2,-3.46031819884468,-0.197552584713815,-0.364834709510166,1.48440340232363
"49",49,1,-0.564750633083838,-0.522390689466881,-0.785598594329256,-0.399639482542787
"50",50,1,-15.1074105318225,-0.179220261292226,-8.14572805433732,33.5024037647295
"51",51,2,-2.17302244007252,0.336179784767281,-0.671542962153208,0.409294371636264
"52",52,2,-3.15598362311218,-0.16233639745777,0.351637363051628,0.794882889855379
"53",53,1,-0.34484810572424,0.238880054632913,0.00519552656701194,-0.569624449121579
"54",54,1,-3.67173892369062,1.06253252795728,-0.176261733970059,1.14263565168568
"55",55,2,-0.878804088142758,0.0493245581044368,-0.124251736246652,-0.314092171712991
"56",56,2,-0.261753593955463,-0.0881994134376322,-0.0409728614055892,-0.0584935659312686
"57",57,1,-28.0620870201573,-2.6647395628843,-18.1765395635851,24.6823897478738
"58",58,1,-2.35962352749679,0.473996389932957,-0.373705962638293,1.00688786317486
"59",59,2,-0.735628287073837,0.355026385197507,-0.401475463161648,-0.167808735850889
"60",60,2,-0.768652698266072,0.220752041015986,-0.0856471323966438,-0.394890152529371
"61",61,1,-6.6738330628223,2.32701646357056,1.10071699461009,-1.18490514259162
"62",62,1,-0.437964548694477,0.0703801894301156,-0.132661948901745,-0.034276520994052
"63",63,2,-0.559958400018024,-0.151532692372461,-0.148291980912094,-0.431424389849169
"64",64,2,-2.15004966015598,-1.28394860173792,-0.192181596031794,2.37684070205837
"65",65,1,-2.86251355905145,0.657226074776407,0.0979747107246969,1.08061448290229
"66",66,1,-3.01253048778867,-0.857183960643661,-1.4273078189461,0.58529473481032
"67",67,2,-1.33475156334885,-0.469658171908713,-0.805500028585699,1.56278592989105
"68",68,2,-1.68822302050086,-0.229312658884361,-0.221551106317505,1.13774075729109
"69",69,1,-0.432068987408119,0.375221065427748,-0.44916771951036,-0.117671618531409
"70",70,1,-1989.73000948174,645.212368199017,-1495.94575502723,0.148342415665347
"71",71,2,-1.63425554448561,0.553828766260304,-0.626460038309012,0.797281767907744
"72",72,2,-0.902525454736253,0.0456309065101819,-0.0725247890954134,1.71302313594257
"73",73,1,-2.96518120880772,0.728844279617662,-0.388767197699198,0.347598550359018
"74",74,1,-8.68111484104064,-4.05308212704285,-0.0458404202668298,0.598185767103082
"75",75,2,-2.27192097487029,-0.245528184956738,-0.0916022538885385,1.79582933425635
"76",76,2,-3.8373884024237,-1.1532017941581,-0.550265492749172,2.29842834236348
"77",77,1,-4.68681500402921,-2.13786294159996,1.30419442405737,1.04901034914018
"78",78,1,-16.4098495956453,-0.00150974493452218,-12.7842171540192,29.29178323616
"79",79,2,-4.69733591278139,-2.96682202288019,-0.866628120151694,0.795814254358617
"80",80,2,-0.0931291414819432,0.110047813296226,0.0468242994435038,-0.269096586229005
"81",81,1,-6.71133863525733,1.51883959734245,1.3952206506876,-1.00952126460636
"82",82,1,-3.4183599847138,-0.365786474828296,-0.982797345370338,1.05148740497867
"83",83,2,-0.961406280422048,-0.547035246973856,-0.903929679407217,1.27189455125616
"84",84,2,-1.3696677764262,0.344707051892289,-0.0972774056498883,0.798831616454929
"85",85,1,-7.06516362237867,-3.921105844915,3.25829534119372,-0.990225842611254
"86",86,1,-3.48313802418623,0.712972754968791,-0.979165032780713,0.960006120103792
"87",87,2,-2.34999743406587,-0.0753298054742127,-0.0408298849021068,0.847699681152207
"88",88,2,-0.685837753693983,-0.255144498272591,-0.128409923322866,-0.51761831078847
"89",89,1,-1.93819947527324,-0.109725035775207,-0.788943026110177,0.450183701097992
"90",90,1,-2.11141111166967,0.0505768936099951,-0.910739677643323,-0.0347406326006991
"91",91,2,-0.204358529903298,0.0186144106452525,0.0818181673567422,-0.979531793469915
"92",92,2,-1.81396255888402,-0.335587924256458,-0.303174430435476,2.47883680587783
"93",93,1,-3.82212610805963,0.0698897271203349,-0.896814699516173,-0.589125860514853
"94",94,1,-6.27573296437288,0.469412210474186,-3.63170197219056,1.37471713712031
"95",95,2,-1.068140254295,-0.0480847388844065,-0.050786479780489,-0.0879733839474846
"96",96,2,-2.61461590881184,-0.526982771267309,-0.679785493288062,1.10733867915161
"97",97,1,-3.49072329044532,-0.720662947761122,-1.82291899932267,2.54266410114475
"98",98,1,-7.0848480755453,-1.09831921860895,-2.66330719453459,2.03069309108759
"99",99,2,-1.76358413774737,1.51886587049934,1.06652844995559,1.56657724162352
"100",100,2,-1.28672888635675,-0.0286314573400074,-0.138014082790763,0.414081880542944
