sub,ses,context,switch,train_type,transfer,full_transfer_first,original_house,t,n_clicks,n_cc,n_oc,n_lc,n_nc,setting_sticks,setting_slips,context_changes,accuracy,setting_errors,general_errors,learned_setting_errors,rt,win,rt_correct,transition_probabilities
1,1,1,0,NA,NA,NA,NA,63.4125,2.55,2.3875,0.05,NA,0.1125,0,0.0375,0.1375,0.9658630952380952,0.010833333333333334,0.023303571428571427,NA,0.6063500000000001,0.9625,0.5361025641025641,NA
1,1,1,1,NA,NA,NA,NA,88,1,1,0,NA,0,0,0,0,1,0,0,NA,1.851,1,1.851,NA
1,1,2,0,NA,NA,NA,NA,103.53571428571429,2.4047619047619047,2.4047619047619047,0,NA,0,0,0,0,1,0,0,NA,0.3865,1,0.3865,NA
1,1,2,1,NA,NA,NA,NA,85,4,2.5,0.5,NA,1,0,0.5,1,0.625,0.125,0.25,NA,2.8505,1,1.917,NA
1,2,1,0,1,NA,NA,NA,144.66013071895424,2.738562091503268,2.581699346405229,0.10457516339869281,NA,0.05228758169934641,0.006535947712418301,0.0196078431372549,0.12418300653594772,0.9781334102268359,0.010909265667051134,0.010957324106113032,NA,0.4133529411764706,0.9803921568627451,0.3630331125827815,0.5050817498895271
1,2,1,1,1,NA,NA,NA,145.28571428571428,8.142857142857142,2.4285714285714284,5.714285714285714,NA,0,0,0,0,0.28953427524856096,0.710465724751439,0,NA,4.581285714285714,0,NA,NA
1,2,2,0,1,NA,NA,NA,177.8421052631579,2.736842105263158,2.6776315789473686,0.05921052631578947,NA,0,0,0.006578947368421052,0.013157894736842105,0.9957706766917294,0.004229323308270677,0,NA,0.3616907894736842,0.993421052631579,0.3616907894736842,0
1,2,2,1,1,NA,NA,NA,147.25,7.625,2.75,4.875,NA,0,0,0,0,0.3485615079365079,0.651438492063492,0,NA,3.754625,0,NA,NA
1,3,3,0,1,1,1,1,20.5,2.375,2.25,0.05,0.1,0.075,0,0.025,0.1,0.9716666666666667,0.01,0.018333333333333333,0.02,0.37945,0.975,0.27187179487179486,NA
1,3,4,0,1,2,1,NA,60.5,4.3,3.025,0.375,1.1,0.9,0.025,0.15,1.175,0.8104507175830705,0.039589617898441426,0.14995966451848805,0.16561657296951415,1.40175,0.725,1.1971714285714286,NA
2,1,1,0,NA,NA,NA,NA,67.29473684210527,3.7157894736842105,2.568421052631579,0.4,NA,0.7473684210526316,0.042105263157894736,0.17894736842105263,0.8526315789473684,0.8604048582995951,0.04801619433198381,0.09157894736842105,NA,2.248284210526316,0.8210526315789474,1.4888441558441559,NA
2,1,1,1,NA,NA,NA,NA,103,2,2,0,NA,0,0,0,0,1,0,0,NA,2.967,1,2.967,NA
2,1,2,0,NA,NA,NA,NA,118.53571428571429,3.4166666666666665,2.6904761904761907,0.25,NA,0.47619047619047616,0.023809523809523808,0.09523809523809523,0.5119047619047619,0.9357024754346183,0.023632369614512472,0.04066515495086924,NA,1.3162261904761905,0.9047619047619048,0.8942987012987013,NA
2,1,2,1,NA,NA,NA,NA,100,6,3,1,NA,2,0,0.5,2.5,0.6666666666666666,0.1111111111111111,0.2222222222222222,NA,3.3335,0.5,1.425,NA
2,2,1,0,1,NA,NA,NA,190.52287581699346,2.8300653594771243,2.718954248366013,0.1111111111111111,NA,0,0.026143790849673203,0.026143790849673203,0.05228758169934641,0.9824255628177196,0.017574437182280318,0,NA,0.6178431372549019,0.8888888888888888,0.46747972972972973,0.43842592592592594
2,2,1,1,1,NA,NA,NA,169.42857142857142,10.571428571428571,2.7142857142857144,7.857142857142857,NA,0,0,0.14285714285714285,0.2857142857142857,0.2528447742733457,0.7471552257266543,0,NA,5.634714285714286,0,NA,NA
2,2,2,0,1,NA,NA,NA,129.45394736842104,2.710526315789474,2.651315789473684,0.05263157894736842,NA,0.006578947368421052,0,0.013157894736842105,0.046052631578947366,0.9937865497076024,0.005482456140350877,7.309941520467836e-4,NA,0.43258552631578945,0.9605263157894737,0.43258552631578945,0.359375
2,2,2,1,1,NA,NA,NA,168.375,14.875,3,11.875,NA,0,0,0,0,0.22464049430961197,0.775359505690388,0,NA,8.8325,0,NA,NA
2,3,3,0,1,1,1,2,20.5,2.825,2.65,0.025,0.05,0.15,0,0.025,0.05,0.9805555555555555,0.0027777777777777775,0.016666666666666666,0.005555555555555555,0.96865,0.975,0.9321538461538461,NA
2,3,4,0,1,2,1,NA,60.5,3.6,2.725,0.275,0.575,0.6,0.025,0.125,0.7,0.9054513888888889,0.026041666666666668,0.06850694444444444,0.06184027777777778,1.54335,0.775,1.0094722222222223,NA
3,1,1,0,NA,NA,NA,NA,69.14851485148515,4.198019801980198,2.5445544554455446,0.504950495049505,NA,1.1485148514851484,0.009900990099009901,0.24752475247524752,1.0396039603960396,0.8288701947117789,0.053187406652753184,0.11794239863546795,NA,1.4676237623762376,0.7425742574257426,1.0145777777777778,NA
3,1,1,1,NA,NA,NA,NA,109,1,1,0,NA,0,0,0,0,1,0,0,NA,2.075,1,2.075,NA
3,1,2,0,NA,NA,NA,NA,124.53571428571429,2.5952380952380953,2.488095238095238,0.023809523809523808,NA,0.08333333333333333,0,0.023809523809523808,0.08333333333333333,0.9801587301587301,0.004365079365079365,0.015476190476190475,NA,0.38016666666666665,0.9166666666666666,0.35140963855421686,NA
3,1,2,1,NA,NA,NA,NA,106,6.5,2,1.5,NA,3,0,1,2.5,0.31666666666666665,0.26666666666666666,0.41666666666666663,NA,2.609,0.5,1.626,NA
3,2,1,0,2,NA,NA,NA,152.17857142857142,6.526785714285714,2.6517857142857144,1.3928571428571428,NA,2.482142857142857,0.16071428571428573,0.5982142857142857,2.6785714285714284,0.6218899962437595,0.1555461276306408,0.22256387612559972,NA,1.1085982142857143,0.5,0.7209135802469135,0.48569023569023567
3,2,1,1,2,NA,NA,NA,164.0212765957447,7.191489361702128,2.617021276595745,2.0425531914893615,NA,2.5319148936170213,0,0.5957446808510638,2.5319148936170213,0.48180253552593977,0.25966052269243756,0.2585369417816226,NA,1.6775957446808512,0.3617021276595745,0.989909090909091,NA
3,2,2,0,2,NA,NA,NA,162.045871559633,8.79816513761468,2.779816513761468,2.477064220183486,NA,3.541284403669725,0.3944954128440367,0.8440366972477065,4.08256880733945,0.4408440886664437,0.26483340653290555,0.29432250480065075,NA,1.5739541284403669,0.3577981651376147,0.6638333333333333,0.23842229199372056
3,2,2,1,2,NA,NA,NA,163.95833333333334,9.666666666666666,2.6666666666666665,3,NA,4,0,0.6666666666666666,2.875,0.30988091259230965,0.32024050466146053,0.3698785827462298,NA,2.8793541666666664,0.22916666666666666,1.2434285714285713,NA
3,3,3,0,2,1,1,1,20.5,3.1,2.525,0.1,0.175,0.475,0,0.075,0.25,0.9409090909090909,0.009595959595959595,0.049494949494949494,0.016919191919191917,0.3,0.825,0.2516923076923077,NA
3,3,4,0,2,2,1,NA,60.5,5.725,3.05,0.55,1,2.125,0.025,0.3,1.2,0.7915123533873534,0.049027430902430905,0.1594602157102157,0.0877479464979465,0.55485,0.675,0.4151351351351351,NA
