"","sid","ses","context","train_type","transfer","nclicks","k4_onset"
"1",1,1,1,1,NA,91,33
"2",1,1,2,1,NA,109,28
"3",1,3,NA,1,1,95,19
"4",1,3,NA,1,2,172,152
"5",2,1,1,1,NA,250,180
"6",2,1,2,1,NA,187,107
"7",2,3,NA,1,1,113,13
"8",2,3,NA,1,2,144,77
"9",3,1,1,2,NA,318,270
"10",3,1,2,2,NA,123,30
"11",3,3,NA,2,1,124,57
"12",3,3,NA,2,2,229,192
"13",4,1,1,2,NA,995,Inf
"14",4,1,2,2,NA,394,282
"15",4,3,NA,2,1,134,86
"16",4,3,NA,2,2,146,Inf
"17",5,1,1,1,NA,184,147
"18",5,1,2,1,NA,132,67
"19",5,3,NA,1,1,130,58
"20",5,3,NA,1,2,124,115
"21",6,1,1,1,NA,210,125
"22",6,1,2,1,NA,183,Inf
"23",6,3,NA,1,1,127,64
"24",6,3,NA,1,2,147,85
"25",7,1,1,2,NA,148,103
"26",7,1,2,2,NA,142,62
"27",7,3,NA,2,1,96,30
"28",7,3,NA,2,2,136,63
"29",8,1,1,2,NA,133,55
"30",8,1,2,2,NA,140,54
"31",8,3,NA,2,1,89,32
"32",8,3,NA,2,2,116,38
"33",9,1,1,1,NA,1752,1721
"34",9,1,2,1,NA,782,725
"35",9,3,NA,1,1,237,Inf
"36",9,3,NA,1,2,253,245
"37",10,1,1,1,NA,155,91
"38",10,1,2,1,NA,151,79
"39",10,3,NA,1,1,113,40
"40",10,3,NA,1,2,125,38
"41",11,1,1,2,NA,580,548
"42",11,1,2,2,NA,452,376
"43",11,3,NA,2,1,101,21
"44",11,3,NA,2,2,114,32
"45",12,1,1,2,NA,162,71
"46",12,1,2,2,NA,142,44
"47",12,3,NA,2,1,108,40
"48",12,3,NA,2,2,93,38
"49",13,1,1,1,NA,484,439
"50",13,1,2,1,NA,292,264
"51",13,3,NA,1,1,122,42
"52",13,3,NA,1,2,224,Inf
"53",14,1,1,1,NA,123,52
"54",14,1,2,1,NA,149,51
"55",14,3,NA,1,1,88,42
"56",14,3,NA,1,2,182,Inf
"57",15,1,1,2,NA,196,136
"58",15,1,2,2,NA,156,79
"59",15,3,NA,2,1,130,51
"60",15,3,NA,2,2,112,29
"61",16,1,1,2,NA,296,289
"62",16,1,2,2,NA,165,90
"63",16,3,NA,2,1,106,16
"64",16,3,NA,2,2,128,51
"65",17,1,1,1,NA,173,Inf
"66",17,1,2,1,NA,198,104
"67",17,3,NA,1,1,109,22
"68",17,3,NA,1,2,119,42
"69",18,1,1,1,NA,151,72
"70",18,1,2,1,NA,169,95
"71",18,3,NA,1,1,117,47
"72",18,3,NA,1,2,124,46
"73",19,1,1,2,NA,346,297
"74",19,1,2,2,NA,234,178
"75",19,3,NA,2,1,254,253
"76",19,3,NA,2,2,132,63
"77",20,1,1,2,NA,169,81
"78",20,1,2,2,NA,174,64
"79",20,3,NA,2,1,125,51
"80",20,3,NA,2,2,109,42
"81",21,1,1,1,NA,150,67
"82",21,1,2,1,NA,147,46
"83",21,3,NA,1,1,103,20
"84",21,3,NA,1,2,117,49
"85",22,1,1,1,NA,141,62
"86",22,1,2,1,NA,136,46
"87",22,3,NA,1,1,110,33
"88",22,3,NA,1,2,121,58
"89",23,1,1,2,NA,345,312
"90",23,1,2,2,NA,191,140
"91",23,3,NA,2,1,203,181
"92",23,3,NA,2,2,185,167
"93",24,1,1,2,NA,163,Inf
"94",24,1,2,2,NA,197,170
"95",24,3,NA,2,1,121,53
"96",24,3,NA,2,2,132,67
"97",25,1,1,1,NA,938,847
"98",25,1,2,1,NA,194,42
"99",25,3,NA,1,1,106,21
"100",25,3,NA,1,2,138,59
"101",26,1,1,1,NA,692,629
"102",26,1,2,1,NA,228,125
"103",26,3,NA,1,1,120,26
"104",26,3,NA,1,2,169,77
"105",27,1,1,2,NA,306,240
"106",27,1,2,2,NA,129,54
"107",27,3,NA,2,1,120,37
"108",27,3,NA,2,2,112,32
"109",28,1,1,2,NA,126,88
"110",28,1,2,2,NA,127,70
"111",28,3,NA,2,1,111,21
"112",28,3,NA,2,2,137,84
"113",29,1,1,1,NA,124,83
"114",29,1,2,1,NA,122,54
"115",29,3,NA,1,1,112,37
"116",29,3,NA,1,2,146,Inf
"117",30,1,1,1,NA,154,81
"118",30,1,2,1,NA,146,45
"119",30,3,NA,1,1,114,22
"120",30,3,NA,1,2,154,91
"121",31,1,1,2,NA,156,98
"122",31,1,2,2,NA,140,64
"123",31,3,NA,2,1,119,28
"124",31,3,NA,2,2,151,73
"125",32,1,1,2,NA,957,920
"126",32,1,2,2,NA,287,216
"127",32,3,NA,2,1,136,58
"128",32,3,NA,2,2,138,76
"129",33,1,1,1,NA,136,42
"130",33,1,2,1,NA,135,40
"131",33,3,NA,1,1,108,24
"132",33,3,NA,1,2,136,133
"133",34,1,1,1,NA,173,71
"134",34,1,2,1,NA,143,55
"135",34,3,NA,1,1,124,38
"136",34,3,NA,1,2,144,70
"137",35,1,1,2,NA,116,49
"138",35,1,2,2,NA,128,46
"139",35,3,NA,2,1,101,22
"140",35,3,NA,2,2,133,124
"141",36,1,1,2,NA,317,297
"142",36,1,2,2,NA,129,41
"143",36,3,NA,2,1,99,17
"144",36,3,NA,2,2,110,31
"145",37,1,1,1,NA,150,98
"146",37,1,2,1,NA,158,Inf
"147",37,3,NA,1,1,97,33
"148",37,3,NA,1,2,107,58
"149",38,1,1,1,NA,189,98
"150",38,1,2,1,NA,447,436
"151",38,3,NA,1,1,132,115
"152",38,3,NA,1,2,123,43
"153",39,1,1,2,NA,123,109
"154",39,1,2,2,NA,145,Inf
"155",39,3,NA,2,1,180,179
"156",39,3,NA,2,2,141,66
"157",40,1,1,2,NA,154,69
"158",40,1,2,2,NA,161,61
"159",40,3,NA,2,1,126,51
"160",40,3,NA,2,2,129,63
"161",41,1,1,1,NA,113,75
"162",41,1,2,1,NA,134,84
"163",41,3,NA,1,1,116,22
"164",41,3,NA,1,2,121,59
"165",42,1,1,1,NA,379,350
"166",42,1,2,1,NA,134,46
"167",42,3,NA,1,1,106,20
"168",42,3,NA,1,2,143,103
"169",43,1,1,2,NA,235,183
"170",43,1,2,2,NA,184,105
"171",43,3,NA,2,1,139,92
"172",43,3,NA,2,2,114,63
"173",44,1,1,2,NA,155,83
"174",44,1,2,2,NA,184,110
"175",44,3,NA,2,1,178,110
"176",44,3,NA,2,2,146,65
"177",45,1,1,1,NA,156,85
"178",45,1,2,1,NA,153,49
"179",45,3,NA,1,1,116,32
"180",45,3,NA,1,2,146,68
"181",46,1,1,1,NA,145,69
"182",46,1,2,1,NA,136,49
"183",46,3,NA,1,1,129,63
"184",46,3,NA,1,2,141,56
"185",47,1,1,2,NA,150,90
"186",47,1,2,2,NA,141,71
"187",47,3,NA,2,1,109,27
"188",47,3,NA,2,2,129,49
"189",48,1,1,2,NA,752,Inf
"190",48,1,2,2,NA,277,192
"191",48,3,NA,2,1,98,21
"192",48,3,NA,2,2,135,58
"193",49,1,1,1,NA,421,336
"194",49,1,2,1,NA,141,81
"195",49,3,NA,1,1,110,33
"196",49,3,NA,1,2,111,53
"197",50,1,1,1,NA,224,222
"198",50,1,2,1,NA,149,59
"199",50,3,NA,1,1,99,33
"200",50,3,NA,1,2,117,36
"201",51,1,1,2,NA,532,460
"202",51,1,2,2,NA,138,48
"203",51,3,NA,2,1,93,60
"204",51,3,NA,2,2,132,38
"205",52,1,1,2,NA,125,48
"206",52,1,2,2,NA,147,83
"207",52,3,NA,2,1,104,28
"208",52,3,NA,2,2,110,33
"209",53,1,1,1,NA,167,73
"210",53,1,2,1,NA,213,104
"211",53,3,NA,1,1,115,32
"212",53,3,NA,1,2,171,93
"213",54,1,1,1,NA,203,197
"214",54,1,2,1,NA,192,121
"215",54,3,NA,1,1,130,61
"216",54,3,NA,1,2,142,67
"217",55,1,1,2,NA,184,100
"218",55,1,2,2,NA,459,459
"219",55,3,NA,2,1,110,37
"220",55,3,NA,2,2,133,57
"221",56,1,1,2,NA,850,802
"222",56,1,2,2,NA,205,137
"223",56,3,NA,2,1,194,Inf
"224",56,3,NA,2,2,216,Inf
"225",57,1,1,1,NA,141,Inf
"226",57,1,2,1,NA,720,716
"227",57,3,NA,1,1,158,118
"228",57,3,NA,1,2,131,48
"229",58,1,1,1,NA,210,182
"230",58,1,2,1,NA,155,65
"231",58,3,NA,1,1,110,26
"232",58,3,NA,1,2,143,65
"233",59,1,1,2,NA,485,437
"234",59,1,2,2,NA,173,87
"235",59,3,NA,2,1,103,18
"236",59,3,NA,2,2,141,137
"237",60,1,1,2,NA,191,182
"238",60,1,2,2,NA,185,97
"239",60,3,NA,2,1,165,Inf
"240",60,3,NA,2,2,141,Inf
"241",61,1,1,1,NA,449,401
"242",61,1,2,1,NA,176,166
"243",61,3,NA,1,1,125,56
"244",61,3,NA,1,2,143,90
"245",62,1,1,1,NA,1269,1258
"246",62,1,2,1,NA,199,110
"247",62,3,NA,1,1,180,Inf
"248",62,3,NA,1,2,137,Inf
"249",63,1,1,2,NA,140,41
"250",63,1,2,2,NA,163,78
"251",63,3,NA,2,1,116,17
"252",63,3,NA,2,2,195,Inf
"253",64,3,NA,2,1,144,78
"254",64,3,NA,2,2,167,127
"255",65,1,1,1,NA,135,46
"256",65,1,2,1,NA,156,67
"257",65,3,NA,1,1,111,19
"258",65,3,NA,1,2,113,78
"259",66,1,1,1,NA,209,Inf
"260",66,1,2,1,NA,149,65
"261",66,3,NA,1,1,123,50
"262",66,3,NA,1,2,113,32
"263",67,1,1,2,NA,642,616
"264",67,1,2,2,NA,134,48
"265",67,3,NA,2,1,128,52
"266",67,3,NA,2,2,144,72
"267",68,1,1,2,NA,135,55
"268",68,1,2,2,NA,155,62
"269",68,3,NA,2,1,103,25
"270",68,3,NA,2,2,114,43
"271",69,1,1,1,NA,175,Inf
"272",69,1,2,1,NA,171,Inf
"273",69,3,NA,1,1,90,19
"274",69,3,NA,1,2,113,34
"275",70,1,1,1,NA,779,Inf
"276",70,1,2,1,NA,148,Inf
"277",70,3,NA,1,1,128,49
"278",70,3,NA,1,2,134,86
"279",71,1,1,2,NA,288,282
"280",71,1,2,2,NA,159,78
"281",71,3,NA,2,1,168,124
"282",71,3,NA,2,2,148,65
"283",72,1,1,2,NA,2187,Inf
"284",72,1,2,2,NA,1689,1650
"285",72,3,NA,2,1,138,72
"286",72,3,NA,2,2,117,47
"287",73,1,1,1,NA,115,23
"288",73,1,2,1,NA,153,50
"289",73,3,NA,1,1,97,43
"290",73,3,NA,1,2,111,39
"291",74,1,1,1,NA,139,66
"292",74,1,2,1,NA,140,61
"293",74,3,NA,1,1,127,79
"294",74,3,NA,1,2,153,Inf
"295",75,1,1,2,NA,223,158
"296",75,1,2,2,NA,143,71
"297",75,3,NA,2,1,135,55
"298",75,3,NA,2,2,114,44
"299",76,1,1,2,NA,128,Inf
