"sub","ses","transfer","k4_onset","train_type","N"
1,3,"comp",19,"stable",2
1,3,"part",152,"stable",2
2,3,"comp",13,"stable",2
2,3,"part",77,"stable",2
3,3,"comp",57,"variable",2
3,3,"part",192,"variable",2
5,3,"comp",58,"stable",2
5,3,"part",115,"stable",2
6,3,"comp",64,"stable",2
6,3,"part",85,"stable",2
7,3,"comp",30,"variable",2
7,3,"part",63,"variable",2
8,3,"comp",32,"variable",2
8,3,"part",38,"variable",2
10,3,"comp",40,"stable",2
10,3,"part",38,"stable",2
11,3,"comp",21,"variable",2
11,3,"part",32,"variable",2
12,3,"comp",40,"variable",2
12,3,"part",38,"variable",2
15,3,"comp",51,"variable",2
15,3,"part",29,"variable",2
16,3,"comp",16,"variable",2
16,3,"part",51,"variable",2
17,3,"comp",22,"stable",2
17,3,"part",42,"stable",2
18,3,"comp",47,"stable",2
18,3,"part",46,"stable",2
19,3,"comp",253,"variable",2
19,3,"part",63,"variable",2
20,3,"comp",51,"variable",2
20,3,"part",42,"variable",2
21,3,"comp",20,"stable",2
21,3,"part",49,"stable",2
22,3,"comp",33,"stable",2
22,3,"part",58,"stable",2
23,3,"comp",181,"variable",2
23,3,"part",167,"variable",2
24,3,"comp",53,"variable",2
24,3,"part",67,"variable",2
25,3,"comp",21,"stable",2
25,3,"part",59,"stable",2
26,3,"comp",26,"stable",2
26,3,"part",77,"stable",2
27,3,"comp",37,"variable",2
27,3,"part",32,"variable",2
28,3,"comp",21,"variable",2
28,3,"part",84,"variable",2
30,3,"comp",22,"stable",2
30,3,"part",91,"stable",2
31,3,"comp",28,"variable",2
31,3,"part",73,"variable",2
32,3,"comp",58,"variable",2
32,3,"part",76,"variable",2
33,3,"comp",24,"stable",2
33,3,"part",133,"stable",2
34,3,"comp",38,"stable",2
34,3,"part",70,"stable",2
35,3,"comp",22,"variable",2
35,3,"part",124,"variable",2
36,3,"comp",17,"variable",2
36,3,"part",31,"variable",2
37,3,"comp",33,"stable",2
37,3,"part",58,"stable",2
38,3,"comp",115,"stable",2
38,3,"part",43,"stable",2
39,3,"comp",179,"variable",2
39,3,"part",66,"variable",2
40,3,"comp",51,"variable",2
40,3,"part",63,"variable",2
41,3,"comp",22,"stable",2
41,3,"part",59,"stable",2
42,3,"comp",20,"stable",2
42,3,"part",103,"stable",2
43,3,"comp",92,"variable",2
43,3,"part",63,"variable",2
44,3,"comp",110,"variable",2
44,3,"part",65,"variable",2
45,3,"comp",32,"stable",2
45,3,"part",68,"stable",2
46,3,"comp",63,"stable",2
46,3,"part",56,"stable",2
47,3,"comp",27,"variable",2
47,3,"part",49,"variable",2
48,3,"comp",21,"variable",2
48,3,"part",58,"variable",2
49,3,"comp",33,"stable",2
49,3,"part",53,"stable",2
50,3,"comp",33,"stable",2
50,3,"part",36,"stable",2
51,3,"comp",60,"variable",2
51,3,"part",38,"variable",2
52,3,"comp",28,"variable",2
52,3,"part",33,"variable",2
53,3,"comp",32,"stable",2
53,3,"part",93,"stable",2
54,3,"comp",61,"stable",2
54,3,"part",67,"stable",2
55,3,"comp",37,"variable",2
55,3,"part",57,"variable",2
57,3,"comp",118,"stable",2
57,3,"part",48,"stable",2
58,3,"comp",26,"stable",2
58,3,"part",65,"stable",2
59,3,"comp",18,"variable",2
59,3,"part",137,"variable",2
61,3,"comp",56,"stable",2
61,3,"part",90,"stable",2
64,3,"comp",78,"variable",2
64,3,"part",127,"variable",2
65,3,"comp",19,"stable",2
65,3,"part",78,"stable",2
66,3,"comp",50,"stable",2
66,3,"part",32,"stable",2
67,3,"comp",52,"variable",2
67,3,"part",72,"variable",2
68,3,"comp",25,"variable",2
68,3,"part",43,"variable",2
69,3,"comp",19,"stable",2
69,3,"part",34,"stable",2
70,3,"comp",49,"stable",2
70,3,"part",86,"stable",2
71,3,"comp",124,"variable",2
71,3,"part",65,"variable",2
72,3,"comp",72,"variable",2
72,3,"part",47,"variable",2
73,3,"comp",43,"stable",2
73,3,"part",39,"stable",2
75,3,"comp",55,"variable",2
75,3,"part",44,"variable",2
76,3,"comp",27,"variable",2
76,3,"part",39,"variable",2
77,3,"comp",57,"stable",2
77,3,"part",129,"stable",2
78,3,"comp",54,"stable",2
78,3,"part",79,"stable",2
79,3,"comp",27,"variable",2
79,3,"part",81,"variable",2
80,3,"comp",41,"variable",2
80,3,"part",31,"variable",2
82,3,"comp",74,"stable",2
82,3,"part",55,"stable",2
83,3,"comp",38,"variable",2
83,3,"part",51,"variable",2
84,3,"comp",54,"variable",2
84,3,"part",28,"variable",2
85,3,"comp",79,"stable",2
85,3,"part",124,"stable",2
86,3,"comp",36,"stable",2
86,3,"part",78,"stable",2
87,3,"comp",31,"variable",2
87,3,"part",61,"variable",2
89,3,"comp",96,"stable",2
89,3,"part",60,"stable",2
90,3,"comp",44,"stable",2
90,3,"part",34,"stable",2
91,3,"comp",55,"variable",2
91,3,"part",32,"variable",2
92,3,"comp",23,"variable",2
92,3,"part",40,"variable",2
93,3,"comp",43,"stable",2
93,3,"part",88,"stable",2
95,3,"comp",55,"variable",2
95,3,"part",39,"variable",2
96,3,"comp",49,"variable",2
96,3,"part",51,"variable",2
97,3,"comp",62,"stable",2
97,3,"part",127,"stable",2
99,3,"comp",66,"variable",2
99,3,"part",30,"variable",2
100,3,"comp",47,"variable",2
100,3,"part",65,"variable",2
