sub,ses,context,switch,train_type,transfer,full_transfer_first,original_house,t,n_clicks,n_cc,n_oc,n_lc,n_nc,setting_sticks,setting_slips,context_changes,accuracy,setting_errors,general_errors,learned_setting_errors,rt,win,rt_correct,transition_probabilities
1,1,1,0,NA,NA,NA,NA,63.4125,2.8625,2.6125,0.075,NA,0.175,0,0.0375,0.1625,0.9693813131313131,0.007575757575757575,0.023042929292929292,NA,0.563825,0.9625,0.47744155844155844,NA
1,1,1,1,NA,NA,NA,NA,88,1,1,0,NA,0,0,0,0,1,0,0,NA,2.859,1,2.859,NA
1,1,2,0,NA,NA,NA,NA,103.53571428571429,2.357142857142857,2.357142857142857,0,NA,0,0,0,0,1,0,0,NA,0.36475,1,0.36475,NA
1,1,2,1,NA,NA,NA,NA,42,1,1,0,NA,0,0,0,0,1,0,0,NA,3.759,1,3.759,NA
1,2,1,0,1,NA,NA,NA,145.60526315789474,2.5526315789473686,2.5526315789473686,0,NA,0,0,0,0,1,0,0,NA,0.4490065789473684,1,0.4490065789473684,NA
1,2,1,1,1,NA,NA,NA,145.28571428571428,6.857142857142857,2.4285714285714284,4.428571428571429,NA,0,0,0,0,0.33356009070294784,0.6664399092970522,0,NA,3.904,0,NA,NA
1,2,2,0,1,NA,NA,NA,177.8421052631579,2.5723684210526314,2.5723684210526314,0,NA,0,0,0,0,1,0,0,NA,0.4413026315789474,1,0.4413026315789474,NA
1,2,2,1,1,NA,NA,NA,147.25,7.125,2.75,4.375,NA,0,0,0,0,0.37123015873015874,0.6287698412698413,0,NA,3.992125,0,NA,NA
1,3,1,0,1,NA,NA,NA,71.35,2.775,2.775,0,NA,0,0,0,0,1,0,0,NA,0.565,1,0.565,NA
1,3,1,1,1,NA,NA,NA,80.34210526315789,2.3421052631578947,2.3157894736842106,0.02631578947368421,NA,0,0.02631578947368421,0.02631578947368421,0.05263157894736842,0.9912280701754386,0.008771929824561403,0,NA,0.9622631578947368,1,0.9481621621621622,NA
1,3,2,0,1,NA,NA,NA,91.2,2.725,2.725,0,NA,0,0,0,0,1,0,0,NA,0.6119,1,0.6119,NA
1,3,2,1,1,NA,NA,NA,80.725,2.725,2.65,0.05,NA,0.025,0.05,0.05,0.125,0.9666666666666667,0.020833333333333332,0.0125,NA,1.0667,1,1.0367027027027027,NA
2,1,1,0,NA,NA,NA,NA,64.62962962962963,3.3703703703703702,2.580246913580247,0.2716049382716049,NA,0.5185185185185185,0.04938271604938271,0.13580246913580246,0.5802469135802469,0.8983352038907595,0.03541432846988402,0.06625046763935653,NA,0.7947037037037037,0.8888888888888888,0.5415492957746478,NA
2,1,1,1,NA,NA,NA,NA,90,2,1,1,NA,0,1,1,2,0.5,0.5,0,NA,6.459,1,NA,NA
2,1,2,0,NA,NA,NA,NA,105.53571428571429,3.142857142857143,2.75,0.14285714285714285,NA,0.25,0.023809523809523808,0.047619047619047616,0.2976190476190476,0.9633550642479214,0.012575585789871504,0.024069349962207106,NA,0.3861785714285714,0.9166666666666666,0.3636829268292683,NA
2,1,2,1,NA,NA,NA,NA,87,5.5,2.5,0.5,NA,2.5,0,0.5,2,0.5178571428571428,0.07142857142857142,0.4107142857142857,NA,6.517,0.5,NA,NA
